lat,lon,mean_annual_precip_mm
  0.5,   6.5,2111.407792847732
  0.5,   9.5,2261.01728145624
  0.5,  10.5,2150.4474538240966
  0.5,  11.5,1777.561666003589
  0.5,  12.5,1650.0146861281887
  0.5,  13.5,1631.3448622966637
  0.5,  14.5,1634.758655227464
  0.5,  15.5,1627.1181360442063
  0.5,  16.5,1621.1858122266572
  0.5,  17.5,1636.4129630532757
  0.5,  18.5,1680.4539117977536
  0.5,  19.5,1775.8789150961513
  0.5,  20.5,1872.8668445060991
  0.5,  21.5,1905.855207509008
  0.5,  22.5,1868.390968322754
  0.5,  23.5,1814.6651070035734
  0.5,  24.5,1756.9857985069013
  0.5,  25.5,1696.0297649317772
  0.5,  26.5,1632.1120922483246
  0.5,  27.5,1516.004768240041
  0.5,  28.5,1329.0034709387812
  0.5,  29.5,1253.1806230545044
  0.5,  30.5,1149.1767491389967
  0.5,  31.5,1186.7232985496523
  0.5,  32.5,1368.788388745538
  0.5,  33.5,1428.9155441481491
  0.5,  34.5,1581.9767522154182
  0.5,  35.5,1229.5181246173793
  0.5,  36.5,922.6129489006668
  0.5,  37.5,1088.4120846904557
  0.5,  38.5,700.5663927536586
  0.5,  39.5,460.9504403288573
  0.5,  40.5,358.38621474905267
  0.5,  41.5,413.2431099625497
  0.5,  42.5,435.26595688193777
  0.5,  43.5,544.658054400107
  0.5,  97.5,3490.6681730336154
  0.5,  99.5,3501.493606172759
  0.5, -50.5,2777.343585965962
  0.5, -51.5,2656.8940176285546
  0.5, -52.5,2456.1220322477407
  0.5, -53.5,2257.62332330901
  0.5, -54.5,2086.1095247597527
  0.5, -55.5,1982.8086638286195
  0.5, -56.5,1936.7599490757646
  0.5, -57.5,1905.6582221656008
  0.5, -58.5,1901.3009038464777
  0.5, -59.5,1930.7862496869316
  0.5, -60.5,1993.6427098635972
  0.5, -61.5,2129.70090984476
  0.5, -62.5,2292.0056411151227
  0.5, -63.5,2424.863841878957
  0.5, -64.5,2585.2802188478668
  0.5, -65.5,2729.0789371358933
  0.5, -66.5,2896.755655091384
  0.5, -67.5,3209.208247743804
  0.5, -68.5,3556.566875326222
  0.5, -69.5,3495.149635314941
  0.5, -70.5,3220.9711845661027
  0.5, -71.5,3047.7353789230874
  0.5, -72.5,2936.8052268192682
  0.5, -73.5,2844.4785123364677
  0.5, -74.5,2883.8875546948666
