First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0.04	riffle	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	1	0	29-Aug-13	16	7.6	718	0.8	30	NA	6600	10	6810	NA	100	3.27	NA	0.053	afdm	NA	NA	NA	NA	NA	NA	NA	NA	108.9	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	Average daily air temperature 23 °C (min. 11 °C - max. 29 °C). Accumulated precipitation 17.3mm. Chemetry analysis n = 1 (at 8 days after leaf litter immersion). Ergosterol measured for all samples but data is not extractable. 
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0.04	riffle	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	1	1	29-Aug-13	16	7.6	718	0.8	30	NA	6600	10	6810	NA	72.35	3.27	NA	0.053	afdm	NA	NA	NA	NA	NA	NA	NA	NA	76.6	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0.04	riffle	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	1	4	29-Aug-13	16	7.6	718	0.8	30	NA	6600	10	6810	NA	45.47	3.27	NA	0.053	afdm	NA	NA	NA	NA	NA	NA	NA	NA	46.72	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0.04	riffle	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	1	8	29-Aug-13	16	7.6	718	0.8	30	NA	6600	10	6810	NA	28.59	3.27	NA	0.053	afdm	NA	NA	NA	NA	NA	NA	NA	NA	26.35	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0.04	riffle	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	1	11	29-Aug-13	16	7.6	718	0.8	30	NA	6600	10	6810	NA	18.03	3.27	NA	0.053	afdm	NA	NA	NA	NA	NA	NA	NA	NA	18.7	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0	isolated_pool	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	2	0	29-Aug-13	17.8	7.3	450	5.1	180	NA	900	240	1220	NA	100	3.27	NA	0.044	afdm	NA	NA	NA	NA	NA	NA	NA	NA	108.9	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0	isolated_pool	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	2	1	29-Aug-13	17.8	7.3	450	5.1	180	NA	900	240	1220	NA	64.4	3.27	NA	0.044	afdm	NA	NA	NA	NA	NA	NA	NA	NA	67.02	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0	isolated_pool	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	2	4	29-Aug-13	17.8	7.3	450	5.1	180	NA	900	240	1220	NA	47.14	3.27	NA	0.044	afdm	NA	NA	NA	NA	NA	NA	NA	NA	50.25	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0	isolated_pool	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	2	8	29-Aug-13	17.8	7.3	450	5.1	180	NA	900	240	1220	NA	37.8	3.27	NA	0.044	afdm	NA	NA	NA	NA	NA	NA	NA	NA	47.56	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
Abril	Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation	2016	Science of the Total Environment	10.1016/j.scitotenv.2016.02.082	stream	30	0	isolated_pool	litter_bag	5	field	NA	forested	shaded	leaves	senesced	Populus_nigra	2	11	29-Aug-13	17.8	7.3	450	5.1	180	NA	900	240	1220	NA	33.93	3.27	NA	0.044	afdm	NA	NA	NA	NA	NA	NA	NA	NA	43.4	NA	NA	NA	afdm	"Fluvia River, Catalonia, Spain"	NA	42.14_2.45	3	y	y	y	y	ea	ea	NA	molar	
