First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	0.04	field	NA	NA	NA	leaves	senesced	Salix_alba	1	0	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	100	8	NA	0.0096	afdm	NA	NA	NA	NA	NA	47.57	1.975	0.124	28.1	997.9	35.5	25.26315789	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	Depositional and erosional zones of study just inside and outside of a bend of permanently flowing sidechannel of Danube river.
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	0.04	field	NA	NA	NA	leaves	senesced	Salix_alba	1	2	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	78.78024194	8	NA	0.0096	afdm	NA	NA	NA	NA	NA	NA	1.757	0.0877	NA	NA	44.28689558	63.15789474	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	0.04	field	NA	NA	NA	leaves	senesced	Salix_alba	1	35	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	65.1933651	8	NA	0.0096	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	240	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	0.04	field	NA	NA	NA	leaves	senesced	Salix_alba	1	62	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	51.5542522	8	NA	0.0096	afdm	NA	NA	NA	NA	NA	NA	1.7	0.1736	NA	NA	21.64722696	315.7894737	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	1	field	NA	NA	NA	leaves	senesced	Salix_alba	2	0	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	100	8	NA	0.0015	afdm	NA	NA	NA	NA	NA	47.57	1.975	0.124	28.1	997.9	35.5	31.57894737	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	1	field	NA	NA	NA	leaves	senesced	Salix_alba	2	2	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	79.7204912	8	NA	0.0015	afdm	NA	NA	NA	NA	NA	NA	1.84	0.0877	NA	NA	46.37899139	50.52631579	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	1	field	NA	NA	NA	leaves	senesced	Salix_alba	2	35	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	77.38361437	8	NA	0.0015	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.21052632	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	1	field	NA	NA	NA	leaves	senesced	Salix_alba	2	62	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	42.17375367	8	NA	0.0015	afdm	NA	NA	NA	NA	NA	NA	2.1	0.11	NA	NA	42.20167413	202.1052632	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	0.04	field	NA	NA	NA	leaves	senesced	Populus_spphybrids	3	0	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	100	8	NA	0.0105	afdm	NA	NA	NA	NA	NA	47.27	0.852	0.057	64.8	2168.5	33.5	70.21276596	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
Agoston-Szabo	"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)"	2016	Hydrobiologia	10.1007/s10750-015-2616-3	river	NA	NA	depositional_side_channel	litter_bag	0.04	field	NA	NA	NA	leaves	senesced	Populus_spphybrids	3	2	12-Mar-08	13.9	8.2	387.3	6.5	10.1	132.1	1800	NA	NA	2600	69.47368421	8	NA	0.0105	afdm	NA	NA	NA	NA	NA	NA	0.698	0.0378	NA	NA	40.81940715	255.6810704	afdm	"Gemenc forest permanent flowing sidearm of Danube (Rezeti-Holt-Duna), Hungary"	NA	46.22333_18.86804	3	n	y	n	n	ea	ea	acid_digest	molar	
