First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_Method	N_Method	P_Method	Ratio_Type	Notes
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Robinia_pseudoacacia	1	0	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	100	3	NA	NA	dm	NA	NA	14.5	NA	NA	NA	1.33	NA	34.3	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	Converted mass to molar ratio
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Robinia_pseudoacacia	1	2	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	70.85972851	3	NA	NA	dm	NA	NA	14.5	NA	NA	NA	1.362455261	NA	NA	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	N digestion via Kjeldahl method
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Robinia_pseudoacacia	1	25	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	66.74208145	3	NA	NA	dm	NA	NA	14.5	NA	NA	NA	1.431713748	NA	NA	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Robinia_pseudoacacia	1	39	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	65.7918552	3	NA	NA	dm	NA	NA	14.5	NA	NA	NA	1.45989777	NA	NA	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Robinia_pseudoacacia	1	71	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	59.77375566	3	NA	NA	dm	NA	NA	14.5	NA	NA	NA	1.582097364	NA	NA	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Robinia_pseudoacacia	1	95	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	52.1719457	3	NA	NA	dm	NA	NA	14.5	NA	NA	NA	1.632777617	NA	NA	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Ulmus_minor	2	0	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	100	3	NA	NA	dm	NA	NA	4.78	NA	NA	NA	1.02	NA	49	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Ulmus_minor	2	2	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	79.41176471	3	NA	NA	dm	NA	NA	4.78	NA	NA	NA	0.861271148	NA	NA	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Ulmus_minor	2	25	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	62.62443439	3	NA	NA	dm	NA	NA	4.78	NA	NA	NA	1.123688718	NA	NA	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	
Alonso	Comparison of leaf decomposition and macroinvertebrate colonization between exotic and native trees in a freshwater ecosystem	2010	Ecological Research	10.1007/s11284-010-0698-y	lake	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Ulmus_minor	2	39	December2006	9.7	8.5	844	NA	0.025	NA	2400	NA	NA	NA	58.19004525	3	NA	NA	dm	NA	NA	4.78	NA	NA	NA	1.158401014	NA	NA	NA	NA	NA	dm	"Alacala University Botanical garden lake, Madrid Spain"	596	40.5_-3.3	4	n	y	n	n	NA	digestion	NA	molar	
