First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.1	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	1	0	04November1988	13.9	7.1	NA	NA	NA	NA	NA	NA	NA	NA	100	9.5	0.097	0.01676	afdm	NA	NA	NA	NA	NA	51.35	3.191	NA	18.783	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	"same species incubated in 2 waterways during 2 seasons; TPKFS was pollution free while LTR was polluted by chicken farms; initial mass ranged between 9 and 10 g; reported CN was mass so I converted to molar; assumed %C and %N based on dry mass but not explicitly stated; reps were pooled when too little material left for analysis; GPS coordinates estimated based on sketched map from paper"
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.1	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	1	14	04November1988	13.9	7.1	NA	NA	NA	NA	NA	NA	NA	NA	58.84	9.5	0.092	0.01676	afdm	NA	NA	NA	NA	NA	37.172	3.398	NA	12.754	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	review2: yes, %C probably in dm because it drops to 30% in samples with high AFDM/DM ratio…
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.1	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	1	27	04November1988	13.9	7.1	NA	NA	NA	NA	NA	NA	NA	NA	48.04	9.5	0.108	0.01676	afdm	NA	NA	NA	NA	NA	33.832	3.336	NA	11.847	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.1	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	1	47	04November1988	13.9	7.1	NA	NA	NA	NA	NA	NA	NA	NA	34.59	9.5	0.125	0.01676	afdm	NA	NA	NA	NA	NA	37.007	3.206	NA	14.737	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.1	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	1	70	04November1988	13.9	7.1	NA	NA	NA	NA	NA	NA	NA	NA	27.84	9.5	0.114	0.01676	afdm	NA	NA	NA	NA	NA	39.964	2.046	NA	22.865	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.1	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	1	91	04November1988	13.9	7.1	NA	NA	NA	NA	NA	NA	NA	NA	17.67	9.5	0.178	0.01676	afdm	NA	NA	NA	NA	NA	37.828	1.624	NA	27.235	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.1	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	1	112	04November1988	13.9	7.1	NA	NA	NA	NA	NA	NA	NA	NA	12.11	9.5	0.179	0.01676	afdm	NA	NA	NA	NA	NA	36.734	1.719	NA	24.965	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.4	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	2	0	06June1989	23.3	7	NA	NA	NA	NA	NA	NA	NA	NA	100	9.5	0.108	0.05358	afdm	NA	NA	NA	NA	NA	51.366	3.091	NA	19.058	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.4	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	2	7	06June1989	23.3	7	NA	NA	NA	NA	NA	NA	NA	NA	30.46	9.5	0.088	0.05358	afdm	NA	NA	NA	NA	NA	43.005	3.452	NA	14.565	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	
Au	Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway	1992	Canadian Journal of Botany	doi.org/10.1139/b92-130	stream	NA	0.4	NA	litter_bag	3	field	NA	forest	NA	leaves	green	Bauhinia_purpurea	2	21	06June1989	23.3	7	NA	NA	NA	NA	NA	NA	NA	NA	14.73	9.5	0.1	0.05358	afdm	NA	NA	NA	NA	NA	43.716	1.743	NA	28.91	NA	NA	NA	dm	"Tai Po Kau Forest Nature Reserve; near Tai Po; New Territories Hong Kong"	NA	22.429153_114.180095	5	NA	n	y	n	WalklyandBlack	digestion	NA	molar	
