First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	0	11-Nov-10	5.3	NA	NA	NA	13	NA	39	13	51	NA	NA	5	NA	0.006996	afdm	NA	NA	NA	NA	NA	44.65	2.059701493	NA	25.29088164	NA	NA	NA	dm	"Catalonia, NE Spain, Riera Santa Fe"	NA	41.776944_2.464444	3	n	n	n	y	molar	ea	ea	NA	K rates given in degree days - so divided by mean temp to get k per day
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	8	11-Nov-10	5.3	NA	NA	NA	13	NA	39	13	51	NA	NA	5	NA	0.006996	afdm	NA	NA	NA	NA	NA	NA	2.28358209	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Riera Santa Fe"	NA	41.776944_2.464444	3	n	n	n	y	molar	ea	ea	NA	Molar ratios obtained by using percentages to get mass ratios and converting
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	15	11-Nov-10	5.3	NA	NA	NA	13	NA	39	13	51	NA	NA	5	NA	0.006996	afdm	NA	NA	NA	NA	NA	NA	2.305970149	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Riera Santa Fe"	NA	41.776944_2.464444	3	n	n	n	y	molar	ea	ea	NA	enzyme activity measured.
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	29	11-Nov-10	5.3	NA	NA	NA	13	NA	39	13	51	NA	NA	5	NA	0.006996	afdm	NA	NA	NA	NA	NA	NA	2.440298507	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Riera Santa Fe"	NA	41.776944_2.464444	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	47	11-Nov-10	5.3	NA	NA	NA	13	NA	39	13	51	NA	NA	5	NA	0.006996	afdm	NA	NA	NA	NA	NA	NA	2.686567164	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Riera Santa Fe"	NA	41.776944_2.464444	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	85	11-Nov-10	5.3	NA	NA	NA	13	NA	39	13	51	NA	NA	5	NA	0.006996	afdm	NA	NA	NA	NA	NA	NA	2.932835821	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Riera Santa Fe"	NA	41.776944_2.464444	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	119	11-Nov-10	5.3	NA	NA	NA	13	NA	39	13	51	NA	NA	5	NA	0.006996	afdm	NA	NA	NA	NA	NA	NA	2.910447761	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Riera Santa Fe"	NA	41.776944_2.464444	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	2	0	11-Nov-10	6.5	NA	NA	NA	5	NA	150	19	169	NA	NA	5	NA	0.008515	afdm	NA	NA	NA	NA	NA	44.65	2.056257176	NA	25.33324493	NA	NA	NA	dm	"Catalonia, NE Spain, Font del Regas"	NA	41.825556_2.45	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	2	8	11-Nov-10	6.5	NA	NA	NA	5	NA	150	19	169	NA	NA	5	NA	0.008515	afdm	NA	NA	NA	NA	NA	NA	2.18939327	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Font del Regas"	NA	41.825556_2.45	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	2	15	11-Nov-10	6.5	NA	NA	NA	5	NA	150	19	169	NA	NA	5	NA	0.008515	afdm	NA	NA	NA	NA	NA	NA	2.434204716	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Font del Regas"	NA	41.825556_2.45	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	2	29	11-Nov-10	6.5	NA	NA	NA	5	NA	150	19	169	NA	NA	5	NA	0.008515	afdm	NA	NA	NA	NA	NA	NA	2.678088846	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Font del Regas"	NA	41.825556_2.45	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	2	47	11-Nov-10	6.5	NA	NA	NA	5	NA	150	19	169	NA	NA	5	NA	0.008515	afdm	NA	NA	NA	NA	NA	NA	2.137331096	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Font del Regas"	NA	41.825556_2.45	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	2	85	11-Nov-10	6.5	NA	NA	NA	5	NA	150	19	169	NA	NA	5	NA	0.008515	afdm	NA	NA	NA	NA	NA	NA	2.51077453	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Font del Regas"	NA	41.825556_2.45	3	n	n	n	y	molar	ea	ea	NA	
Bastias	Reponses of microbially driven leaf litter decomposition to stream nutrients depend on litter quality	2018	Hydrobiologia	10.1007/s10750-017-3372-3	stream	67	NA	NA	litter_bag	0.25	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	2	119	11-Nov-10	6.5	NA	NA	NA	5	NA	150	19	169	NA	NA	5	NA	0.008515	afdm	NA	NA	NA	NA	NA	NA	2.302923254	NA	NA	NA	NA	NA	dm	"Catalonia, NE Spain, Font del Regas"	NA	41.825556_2.45	3	n	n	n	y	molar	ea	ea	NA	
