First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Cytisus_scoparius	1	0	NA	24	6.8	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	NA	dm	NA	NA	17.87	NA	NA	55.18	1.3733	NA	40.18	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	Were used green plant tissues. Only data of detritus collect was provided (July 2011). Litterbags were placed on trays (20 cm deep 30 cm eachside) filled with 6 l of lake surface water. The same experiment was run at 12 ° C but the authors report only the statistical results in supplementary material. Lat_Long of Alaco reservoir estimated from GoogleMaps.
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Cytisus_scoparius	1	5	NA	24	6.32	NA	124.237	NA	NA	NA	NA	NA	NA	67.37	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Cytisus_scoparius	1	10	NA	24	7.05	NA	60.1721	NA	NA	NA	NA	NA	NA	62.08	2	NA	NA	dm	NA	NA	21.6536	NA	NA	56.32	1.4775	NA	38.12	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Cytisus_scoparius	1	30	NA	24	7.34	NA	46.4788	NA	NA	NA	NA	NA	NA	44.28	2	NA	NA	dm	NA	NA	23.1964	NA	NA	55.03	2.4353	NA	22.6	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Cytisus_scoparius	1	100	NA	24	7.75	NA	11.7566	NA	NA	NA	NA	NA	NA	42.44	2	NA	NA	dm	NA	NA	24.4121	NA	NA	23.28	2.9096	NA	18.63	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Pteridium_aquilinum	2	0	NA	24	6.8	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	NA	dm	NA	NA	32.7781	NA	NA	45.12	0.9052	NA	49.84	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Pteridium_aquilinum	2	5	NA	24	6.23	NA	148.2	NA	NA	NA	NA	NA	NA	77.52	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Pteridium_aquilinum	2	10	NA	24	6.89	NA	107.6095	NA	NA	NA	NA	NA	NA	76.24	2	NA	NA	dm	NA	NA	43.1833	NA	NA	48.31	0.997	NA	48.46	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Pteridium_aquilinum	2	30	NA	24	7.03	NA	50.3912	NA	NA	NA	NA	NA	NA	73.24	2	NA	NA	dm	NA	NA	48.2945	NA	NA	55.88	2.1919	NA	25.5	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Pteridium_aquilinum	2	100	NA	24	7.08	NA	22.5156	NA	NA	NA	NA	NA	NA	69.5	2	NA	NA	dm	NA	NA	52.3859	NA	NA	54.54	2.4664	NA	22.11	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Juncus_effusus	3	0	NA	24	6.8	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	NA	dm	NA	NA	9.9023	NA	NA	43.68	0.7638	NA	57.19	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Juncus_effusus	3	5	NA	24	6.55	NA	66.04	NA	NA	NA	NA	NA	NA	78.58	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Juncus_effusus	3	10	NA	24	7.05	NA	34.7417	NA	NA	NA	NA	NA	NA	76.45	2	NA	NA	dm	NA	NA	8.1901	NA	NA	47.74	0.8783	NA	54.36	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Juncus_effusus	3	30	NA	24	7.33	NA	16.6471	NA	NA	NA	NA	NA	NA	67.11	2	NA	NA	dm	NA	NA	6.7261	NA	NA	51.72	2.2792	NA	22.69	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
Bonanomi	Decomposition of submerged plant litter in a Mediterranean reservoir: A microcosm study	2015	AquaticBotany	10.1016/j.aquabot.2014.05.006	NA	NA	NA	NA	litter_bag	2	lab	NA	NA	NA	leaves	green	Juncus_effusus	3	100	NA	24	7.26	NA	15.0527	NA	NA	NA	NA	NA	NA	56.18	2	NA	NA	dm	NA	NA	7.9417	NA	NA	50.7	2.2542	NA	22.49	NA	NA	NA	dm	"Serre Mountains, Catanzaro Province, Italy"	995	38.591382_16.411477	10	n	n	n	n	ea	ea	NA	molar	
