First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	1	0	8-Nov-09	8.08	NA	NA	0.754	NA	NA	NA	3.8	3.8	NA	100	2	NA	0.0028	afdm	NA	NA	NA	NA	NA	51	1	NA	60	NA	NA	NA	NA	HughWhiteCreek_CoweetaHydrologicLab_NC_USA	650	35.038066_-83.451637	4	n	n	y	y	ea	ea	NA	molar	"some stream nutrients were below detection (bd); different size packs were used for breakdown (2g) and nutrient measurements (10g), ergosterol per afdm; latlong and alt are estimated; conductivity not measured but all soft water streams, samples crushed prior to placing in fine mesh bags"
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	1	1	8-Nov-09	8.08	NA	NA	0.754	NA	NA	NA	3.8	3.8	NA	94.62	2	NA	0.0028	afdm	NA	NA	NA	NA	NA	48.54	0.959	NA	59.05	NA	NA	43.76452297	dm	HughWhiteCreek_CoweetaHydrologicLab_NC_USA	650	35.038066_-83.451637	4	n	n	y	y	ea	ea	NA	molar	review1: could not review CNO data (not shown in the ms)
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	1	16	8-Nov-09	8.08	NA	NA	0.754	NA	NA	NA	3.8	3.8	NA	89.69	2	NA	0.0028	afdm	NA	NA	NA	NA	NA	43.85	1	NA	51.18	NA	NA	122.9875641	dm	HughWhiteCreek_CoweetaHydrologicLab_NC_USA	650	35.038066_-83.451637	4	n	n	y	y	ea	ea	NA	molar	
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	1	37	8-Nov-09	8.08	NA	NA	0.754	NA	NA	NA	3.8	3.8	NA	86.51	2	NA	0.0028	afdm	NA	NA	NA	NA	NA	42.52	0.993	NA	50.02	NA	NA	97.02935165	dm	HughWhiteCreek_CoweetaHydrologicLab_NC_USA	650	35.038066_-83.451637	4	n	n	y	y	ea	ea	NA	molar	
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	1	59	8-Nov-09	8.08	NA	NA	0.754	NA	NA	NA	3.8	3.8	NA	75.18	2	NA	0.0028	afdm	NA	NA	NA	NA	NA	43.47	1.071	NA	47.51	NA	NA	109.0354952	dm	HughWhiteCreek_CoweetaHydrologicLab_NC_USA	650	35.038066_-83.451637	4	n	n	y	y	ea	ea	NA	molar	
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	1	80	8-Nov-09	8.08	NA	NA	0.754	NA	NA	NA	3.8	3.8	NA	74.97	2	NA	0.0028	afdm	NA	NA	NA	NA	NA	20.33	0.483	NA	46.86	NA	NA	118.4643937	dm	HughWhiteCreek_CoweetaHydrologicLab_NC_USA	650	35.038066_-83.451637	4	n	n	y	y	ea	ea	NA	molar	
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	2	0	8-Nov-09	6.18	NA	NA	2.097	NA	NA	9.2	5.5	14.7	NA	100	2	NA	0.0041	afdm	NA	NA	NA	NA	NA	51	1	NA	60	NA	NA	NA	NA	LittleStonyCreek_GilesCo_VA_USA	1181	37.369212_-80.532646	4	n	n	y	y	ea	ea	NA	molar	
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	2	1	8-Nov-09	6.18	NA	NA	2.097	NA	NA	9.2	5.5	14.7	NA	91.56	2	NA	0.0041	afdm	NA	NA	NA	NA	NA	50.43	1.054	NA	55.94	NA	NA	19.83442257	dm	LittleStonyCreek_GilesCo_VA_USA	1181	37.369212_-80.532646	4	n	n	y	y	ea	ea	NA	molar	
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	2	16	8-Nov-09	6.18	NA	NA	2.097	NA	NA	9.2	5.5	14.7	NA	89.99	2	NA	0.0041	afdm	NA	NA	NA	NA	NA	41.92	0.935	NA	52.37	NA	NA	39.6277843	dm	LittleStonyCreek_GilesCo_VA_USA	1181	37.369212_-80.532646	4	n	n	y	y	ea	ea	NA	molar	
Cheever	The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition	2013	Ecology	10.1890/12-1339.1	stream	NA	NA	riffle	litter_bag	2	field	NA	NA	NA	leaves	senesced	Acer_saccharum	2	37	8-Nov-09	6.18	NA	NA	2.097	NA	NA	9.2	5.5	14.7	NA	83.75	2	NA	0.0041	afdm	NA	NA	NA	NA	NA	47.2	1.166	NA	47.25	NA	NA	130.5924673	dm	LittleStonyCreek_GilesCo_VA_USA	1181	37.369212_-80.532646	4	n	n	y	y	ea	ea	NA	molar	
