First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Trapa_bispinosa	1	0	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	100	10	NA	0.069	dm	NA	10.72	4.73	6.37	9.86	41.02	2.85	2.63	16.79	40.2196332	2.4	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	"The leaf bags were incubated at different vertical locations (i.e. air-water interface, AW; sediment-water interface, SW; buried at a depth of 10 cm; buried at a depth of 20 cm). I collected only SW-interface data. Nutrients in the water were transformed into ug/L. High nutrient values ??(e.g N = 40%). I think the data is not in % per gram detrital mass, but in remaining of the initial value. I converted the values, but need double check. "
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Trapa_bispinosa	1	10	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	41.42	10	NA	0.069	dm	NA	NA	NA	NA	NA	38.71	1.14912	1.650588	39.296	60.47594813	1.54	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Trapa_bispinosa	1	20	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	24.05	10	NA	0.069	dm	NA	NA	NA	NA	NA	39.46	1.066185	1.588783	43.174	64.04580587	1.48	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Trapa_bispinosa	1	30	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	19.15	10	NA	0.069	dm	NA	NA	NA	NA	NA	28.99	0.8151	2.063761	41.489	36.22321655	0.87	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Trapa_bispinosa	1	45	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	15.59	10	NA	0.069	dm	NA	NA	NA	NA	NA	29.74	1.0203	2.017473	34.002	38.01293744	1.12	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Trapa_bispinosa	1	60	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	10.69	10	NA	0.069	dm	NA	NA	NA	NA	NA	18.53	0.551475	2.036672	39.196	23.4613244	0.6	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Vallisneria_natans	2	0	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	100	10	NA	0.04	dm	NA	0.84	2.76	16.07	14.68	35.67	2.59	2.18	16.07	42.19342826	2.63	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Vallisneria_natans	2	10	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	63.4	10	NA	0.04	dm	NA	NA	NA	NA	NA	59.95	1.365189	1.607968	51.226	96.14129856	1.88	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Vallisneria_natans	2	20	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	36.7	10	NA	0.04	dm	NA	NA	NA	NA	NA	55.37	1.13442	1.326966	56.937	107.6001622	1.89	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
Chen	Responses of decomposition rate and nutrient release of floating-leaved and submerged aquatic macrophytes to vertical locations in an urban lake (Nanhu Lake China)	2019	Chemistry and Ecology	10.1080/02757540.2019.1584615	lake	NA	NA	NA	litter_bag	5	field	NA	urban	NA	leaves	NA	Vallisneria_natans	2	30	1July2015	27.51	NA	NA	NA	NA	900	NA	90	NA	NA	27.96	10	NA	0.04	dm	NA	NA	NA	NA	NA	49.67	0.957005	1.21753	60.545	105.1992605	1.74	NA	dm	"Nanhu Lake, Wuhan, Hubei China"	23	30.30_114.21	3	n	n	n	n	Sulfuric acid digestion	Kjeldahl	Kjeldahl	molar	
