First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	Alnus_rubra	1	0	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	100	5	NA	0.0282	afdm	NA	NA	23.62	20.64	NA	NA	NA	NA	29.65	693.598	NA	16.8	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	"The streams were treated in blocks for the variables: DM, C:N and C:P, so there is only an average value; but k data is provided for each species in each stream. Litter mesh size 1 x 1.5 cm. Aquatic invertebrates and functional feeding group were measured. Riparian areas along the study streams were invaded by Bohemian knotweed (<50 % cover). Only altitude range is given (27.1 to 61.7m). 5.5 ergosterol conversion"
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	Alnus_rubra	1	15	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	40.9	5	NA	0.0282	afdm	NA	NA	NA	NA	NA	NA	NA	NA	22.34	801.766	NA	79.3	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	Alnus_rubra	1	31	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	32.5	5	NA	0.0282	afdm	NA	NA	NA	NA	NA	NA	NA	NA	19.39	525.827	NA	364.3	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	Alnus_rubra	1	56	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	5.68	5	NA	0.0282	afdm	NA	NA	NA	NA	NA	NA	NA	NA	18.34	483.885	NA	335.2	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	Populus_trichocarpa	2	0	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	100	5	NA	0.0309	afdm	NA	NA	27.29	26.6	NA	NA	NA	NA	78	949.668	NA	0	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	Populus_trichocarpa	2	15	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	60.45	5	NA	0.0309	afdm	NA	NA	NA	NA	NA	NA	NA	NA	66.34	1289.624	NA	16.8	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	Populus_trichocarpa	2	31	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	44.54	5	NA	0.0309	afdm	NA	NA	NA	NA	NA	NA	NA	NA	40.26	704.635	NA	299.5	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	Populus_trichocarpa	2	56	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	6.13	5	NA	0.0309	afdm	NA	NA	NA	NA	NA	NA	NA	NA	35.73	536.865	NA	404.5	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	PolygonumXbohemicum	3	0	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	100	5	NA	0.0277	afdm	NA	NA	30.96	36.55	NA	NA	NA	NA	63.39	894.481	NA	70.3	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
Claeson	Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates	2013	Biol_Invasions	10.1007/s10530-013-0589-6	stream	NA	NA	NA	leaf_pack	15	field	NA	forest	NA	leaves	senesced	PolygonumXbohemicum	3	15	January2011	6	7.3	45.9	NA	10	NA	638	11	NA	NA	66.59	5	NA	0.0277	afdm	NA	NA	NA	NA	NA	NA	NA	NA	51.39	936.423	NA	166.5	afdm	"Porter Stream, Chehalis river basin, Washington, USA"	NA	46.97_-123.27	5	n	y	n	n	ea	ea	Combustion and hot HCl	NA	
