First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	0	November2009	NA	7.43	70	NA	NA	NA	3100	NA	NA	NA	NA	NA	NA	0.0219	afdm	NA	NA	NA	NA	NA	NA	0.722	0.054	NA	NA	29.56	52.14	dm	"Vosges Mountains, NE France"	NA	48.483333_7.070278	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	"Microbial community Structure by DGGE-analyses. Enzyme activities - phenoloxidase, ?-glucosidase, ?-N-acetylglucosaminidase, phosphatase. NO3 values were converted to µgL. "
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	7	November2009	NA	7.43	70	NA	NA	NA	3100	NA	NA	NA	NA	NA	NA	0.0219	afdm	NA	NA	NA	NA	NA	NA	1.013	0.074	NA	NA	30.26	201.355	dm	"Vosges Mountains, NE France"	NA	48.483333_7.070278	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	13	November2009	NA	7.43	70	NA	NA	NA	3100	NA	NA	NA	NA	NA	NA	0.0219	afdm	NA	NA	NA	NA	NA	NA	1.095	0.1146	NA	NA	21.12	399.96	dm	"Vosges Mountains, NE France"	NA	48.483333_7.070278	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	21	November2009	NA	7.43	70	NA	NA	NA	3100	NA	NA	NA	NA	NA	NA	0.0219	afdm	NA	NA	NA	NA	NA	NA	1.146	0.107	NA	NA	23.68	317.515	dm	"Vosges Mountains, NE France"	NA	48.483333_7.070278	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	28	November2009	NA	7.43	70	NA	NA	NA	3100	NA	NA	NA	NA	NA	NA	0.0219	afdm	NA	NA	NA	NA	NA	NA	1.436	0.135	NA	NA	23.51	385.275	dm	"Vosges Mountains, NE France"	NA	48.483333_7.070278	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	49	November2009	NA	7.43	70	NA	NA	NA	3100	NA	NA	NA	NA	NA	NA	0.0219	afdm	NA	NA	NA	NA	NA	NA	1.088	0.124	NA	NA	19.4	404.14	dm	"Vosges Mountains, NE France"	NA	48.483333_7.070278	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	70	November2009	NA	7.43	70	NA	NA	NA	3100	NA	NA	NA	NA	NA	NA	0.0219	afdm	NA	NA	NA	NA	NA	NA	1.131	0.118	NA	NA	21.19	180.51	dm	"Vosges Mountains, NE France"	NA	48.483333_7.070278	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	2	0	November2009	NA	7.58	95	NA	NA	NA	2900	NA	NA	NA	NA	NA	NA	0.0175	afdm	NA	NA	NA	NA	NA	NA	0.722	0.054	NA	NA	29.56	52.14	dm	"Vosges Mountains, NE France"	NA	48.4175_7.071111	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	2	7	November2009	NA	7.58	95	NA	NA	NA	2900	NA	NA	NA	NA	NA	NA	0.0175	afdm	NA	NA	NA	NA	NA	NA	0.714	0.0534	NA	NA	29.56	100.98	dm	"Vosges Mountains, NE France"	NA	48.4175_7.071111	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
Clivot	Impaired leaf litter processing in acidified streams	2013	Microbial Ecology	10.1007/s00248-012-0107-x	stream	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	2	13	November2009	NA	7.58	95	NA	NA	NA	2900	NA	NA	NA	NA	NA	NA	0.0175	afdm	NA	NA	NA	NA	NA	NA	1.111	0.0766	NA	NA	32.06	204.105	dm	"Vosges Mountains, NE France"	NA	48.4175_7.071111	4	n	n	y	y	NA	ea	Na2S2O8 oxidation digestion	molar	
