First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ratio_Type	C_method	N_Method	P_method	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Notes
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	1	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	48	1741	36	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	7	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.1304	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	21	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.8696	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	56	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.8261	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	98	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.6522	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	126	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.9565	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	154	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.2174	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	182	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	210	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.5652	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	238	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.3043	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
