First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	C_method	N_method	P_method	Ratio_Type	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Notes
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Typha_latifolia	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00467	afdm	NA	NA	NA	NA	NA	46.29	0.66	0.26	70	1805	26	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	Allyn converted k/year to k/day 
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Typha_latifolia	1	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00467	afdm	NA	NA	NA	NA	NA	47.02	0.84	0.35	46	736	16	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Typha_latifolia	1	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00467	afdm	NA	NA	NA	NA	NA	45.89	0.9	0.52	57	1396	25	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Typha_latifolia	1	273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00467	afdm	NA	NA	NA	NA	NA	45.97	1.03	0.63	31	847	27	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Typha_latifolia	1	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00467	afdm	NA	NA	NA	NA	NA	46.77	1.5	0.56	53	892	17	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Typha_latifolia	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00301	afdm	NA	NA	NA	NA	NA	46.29	0.66	0.26	70	1805	26	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Typha_latifolia	2	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00301	afdm	NA	NA	NA	NA	NA	47.02	0.74	0.32	45	1384	31	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Typha_latifolia	2	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00301	afdm	NA	NA	NA	NA	NA	45.97	0.85	0.43	63	1524	24	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Typha_latifolia	2	273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00301	afdm	NA	NA	NA	NA	NA	45.97	1.03	0.33	36	1900	52	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Typha_latifolia	2	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00301	afdm	NA	NA	NA	NA	NA	46.53	1.29	0.25	54	1085	20	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
