First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	1	0	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.00379801	NA	NA	NA	NA	NA	NA	46.6	0.8	0.0339	67.95024979	3544.740248	52.1666993	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	"Decay_method: Multi-cell decomposition chamber that resembles PVC tube method, but with chambers cut/screens installed longitudinally to produce discrete chambers at different depths;25_cm_depth= top of peat; Single exponential decay  model; Calculated percent C, N, and P from Total C, N, and P; The multiple measurements for each measurement day are taken from vertical depth profile measurements- I can averaage them if that is preferred (may be better since there was only 1 rep per depth measurement)"
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	1	204	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.00379801	NA	NA	NA	NA	NA	NA	NA	2.29245	0.125696	NA	NA	NA	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	2	0	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.00364678	NA	NA	NA	NA	NA	NA	46.6	0.8	0.0339	67.95024979	3544.740248	52.1666993	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	2	204	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.00364678	NA	NA	NA	NA	NA	NA	NA	2.42527	0.123074	NA	NA	NA	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	3	0	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.00370016	NA	NA	NA	NA	NA	NA	46.6	0.8	0.0339	67.95024979	3544.740248	52.1666993	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	3	204	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.00370016	NA	NA	NA	NA	NA	NA	NA	2.37677	0.107226	NA	NA	NA	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	4	0	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.0042674	NA	NA	NA	NA	NA	NA	46.6	0.8	0.0339	67.95024979	3544.740248	52.1666993	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	4	204	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.0042674	NA	NA	NA	NA	NA	NA	NA	2.50959	0.138996	NA	NA	NA	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	5	0	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.0043213	NA	NA	NA	NA	NA	NA	46.6	0.8	0.0339	67.95024979	3544.740248	52.1666993	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
Debusk	Litter Decomposition and Nutrient Dynamics in a Phosphorus Enriched Everglades Marsh.	2005	Biogeochemistry	10.1007/s10533-004-7113-0	wetland	NA	NA	NA	pvc_tube	1	field	25cm_depthprofile	NA	NA	leaves	senesced	Typha_domingensis	5	204	22March1995	27			NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.0043213	NA	NA	NA	NA	NA	NA	NA	3.15341	0.157542	NA	NA	NA	NA	afdm	Everglades_Florida	NA	NA	3	n	n	n	n	ea	ea	acid_digest	molar	
