First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	dark	NA	shaded	leaves	senesced	Phragmites_australis	1	0	12June1995	28.9	NA	NA	5.3	NA	NA	NA	NA	NA	NA	100	0.7	NA	0.004314444	dm	NA	NA	NA	NA	NA	45.66328571	1.607142857	NA	33.13641305	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	"k calculated from slope of ln%dm remaining, %C and %N calculated from C (mg) and N (mg), molar ratios determined from back-calculating C and N in g, converted to mols: see Extracted Data for full suite of calculations with formulas"
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	dark	NA	shaded	leaves	senesced	Phragmites_australis	1	4	12June1995	28.9	NA	NA	12.23	NA	NA	NA	NA	NA	NA	91.56087	0.7	NA	0.004314444	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	dark	NA	shaded	leaves	senesced	Phragmites_australis	1	14	12June1995	28.9	NA	NA	14.4	NA	NA	NA	NA	NA	NA	79.1313	0.7	NA	0.004314444	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	dark	NA	shaded	leaves	senesced	Phragmites_australis	1	24	12June1995	28.9	NA	NA	17.4	NA	NA	NA	NA	NA	NA	78.3458	0.7	NA	0.004314444	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	dark	NA	shaded	leaves	senesced	Phragmites_australis	1	38	12June1995	28.9	NA	NA	25.45	NA	NA	NA	NA	NA	NA	77.3955	0.7	NA	0.004314444	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	dark	NA	shaded	leaves	senesced	Phragmites_australis	1	63	12June1995	28.9	NA	NA	29.8	NA	NA	NA	NA	NA	NA	72.8086	0.7	NA	0.004314444	dm	NA	NA	NA	NA	NA	47.88994707	2.266215804	NA	24.64540235	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	PAR_transparent_plexiglass	NA	PAR_only	leaves	senesced	Phragmites_australis	2	0	12June1995	28.9	NA	NA	5.3	NA	NA	NA	NA	NA	NA	100	0.7	NA	0.006947321	dm	NA	NA	NA	NA	NA	44.734	1.607142857	NA	32.46205958	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	PAR_transparent_plexiglass	NA	PAR_only	leaves	senesced	Phragmites_australis	2	4	12June1995	28.9	NA	NA	13.07	NA	NA	NA	NA	NA	NA	92.65182	0.7	NA	0.006947321	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	PAR_transparent_plexiglass	NA	PAR_only	leaves	senesced	Phragmites_australis	2	14	12June1995	28.9	NA	NA	21.1	NA	NA	NA	NA	NA	NA	80.2221	0.7	NA	0.006947321	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
Denward	Effects of solar radiation on aquatic macrophyte litter decomposition	1998	Oikos	10.2307/3546916	NA	0	0	NA	litter_bag	1	outdoor_mesocosm	PAR_transparent_plexiglass	NA	PAR_only	leaves	senesced	Phragmites_australis	2	24	12June1995	28.9	NA	NA	23.68	NA	NA	NA	NA	NA	NA	75.0729	0.7	NA	0.006947321	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Lund_Sweden	NA	55.7119_13.2035	4	n	n	n	y	ea	ea	NA	molar	
