First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	0	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.442	0.056	NA	NA	56.92201999	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	leaves collected monthly; assuming collected every 28 days; black water stream; slow flow to simulate reservoir; data collector calculated k and ratios
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	28	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.33572711	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.676	0.031	NA	NA	119.5130667	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	56	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.52064632	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.61	0.034	NA	NA	104.6767015	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	84	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.7432675	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.54	0.035	NA	NA	97.26481085	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	112	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.27468582	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.526	0.037	NA	NA	91.17082393	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	140	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.97127469	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.449	0.037	NA	NA	86.57046125	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	168	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.86714542	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.47	0.043	NA	NA	75.57043972	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	196	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.33393178	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.46	0.04	NA	NA	80.68558173	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	224	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.81867145	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.46	0.033	NA	NA	97.80070512	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
Dezzeo	Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana	1998	Biogeochemistry	10.1023/A:1006035412535	stream	NA	NA	slow	litter_bag	3	field	NA	forested	NA	leaves	green	Catostemma spxProtium spxMabea spxEschweilera spxAlexa canaracunensisxAlexa imperatricisxEperua grandifloraxIryanthera spxOenocarpus batauaxChrysophyllum sp	1	252	10May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.99102334	22.28	NA	0.00347	DM	NA	NA	NA	NA	NA	NA	1.432	0.04	NA	NA	79.13818701	NA	DM	"Caño Maní stream, Caura river drainage, Venezuela"	280	5.1667_-64.1667	8	n	n	n	n	NA	Kjeldahl	Sulfuric acid digestions	molar	
