First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Alnus_glutinosa	1	0	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	100	NA	NA	NA	afdm	NA	NA	23	NA	NA	NA	0.402	0.02	NA	NA	46.7	NA	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	"Allyn converted measurement months to days. DM: measured months were 1.5, 8, 15, 29, 37, and 54 months."
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Alnus_glutinosa	1	47	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	94.4512	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.553025	0.011	NA	NA	111.1	13.3942	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Alnus_glutinosa	1	243	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	100	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.396383	0.00566667	NA	NA	154.6	24.2297	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Alnus_glutinosa	1	456	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	94.794	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.43727	0.00833333	NA	NA	116	5.74209	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Alnus_glutinosa	1	882	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	85.3284	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.400631	0.007	NA	NA	126.5	24.7943	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Alnus_glutinosa	1	1125	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	84.1044	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.50739	0.009	NA	NA	124.6	17.01	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Alnus_glutinosa	1	1644	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	70.51	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Quercus_robur	2	0	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	100	NA	NA	NA	afdm	NA	NA	14.2	NA	NA	NA	0.376	0.02	NA	NA	65.7	NA	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Quercus_robur	2	47	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	91.7436	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.305732	0.00533333	NA	NA	126.7	12.8656	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Quercus_robur	2	243	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	95.9301	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.306971	0.00566667	NA	NA	119.7	21.0343	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Quercus_robur	2	456	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	90.4662	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.347768	0.00766667	NA	NA	100.3	10.5352	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Quercus_robur	2	882	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	76.78	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.3506	0.00633333	NA	NA	122.4	8.26476	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
Diez	Breakdown of wood in the Aguera stream	2002	Freshwater Biology	10.1046/j.1365-2427.2002.00965.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	branch	green	Quercus_robur	2	1125	20June1995	11.8	7.1	107	NA	2.3	NA	NA	NA	NA	NA	75.459	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.299566	0.00666667	NA	NA	99.3	40.4709	dm	"Aguera Catchment, Northern Spain"	NA	43.21028_-3.262778	4	n	n	n	n	NA	Kjeldahl	Allen et al 1974	molar	
