First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	0	7November1995	3	8.2	1750	NA	NA	NA	NA	NA	NA	NA	100	100	NA	0.003	dm	NA	NA	9.9	27.8	33.8	40.1	1.19	0.117	40	885.3988604	22.52136752	NA	dm	"Lake Ferto, Neusidler See"	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	146	7November1995	5.8	8.2	1750	NA	NA	NA	NA	NA	NA	NA	81.4596	100	NA	0.003	dm	NA	NA	8.0202573	26.0625	29.6185682	35.5316476	0.94339749	0.047879325	43.94074534	1917.113277	43.62951201	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	197	7November1995	17.4	8.2	1750	NA	NA	NA	NA	NA	NA	NA	58.2147	100	NA	0.003	dm	NA	NA	8.2708857	17.6645926	22.6494814	27.4101144	0.76274716	0.034959951	41.92538298	2025.445121	48.31071245	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	220	7November1995	20.6	8.2	1750	NA	NA	NA	NA	NA	NA	NA	51.6537	100	NA	0.003	dm	NA	NA	7.0177239	16.2166574	20.2103044	24.3645595	0.68245786	0.027767025	41.65139136	2266.781505	54.42270787	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	255	7November1995	20.4	8.2	1750	NA	NA	NA	NA	NA	NA	NA	41.5136	100	NA	0.003	dm	NA	NA	6.7670856	13.9	16.0288726	20.3037929	0.62224148	0.023485059	38.06843347	2233.397199	58.66795651	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	280	7November1995	20.8	8.2	1750	NA	NA	NA	NA	NA	NA	NA	39.7125	100	NA	0.003	dm	NA	NA	7.5189906	12.4520926	14.635062	18.7809954	0.66238613	0.022077315	33.07913664	2197.621017	66.43525922	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	312	7November1995	14.8	8.2	1750	NA	NA	NA	NA	NA	NA	NA	35.5267	100	NA	0.003	dm	NA	NA	6.2658189	10.7145926	12.8927734	16.7506522	0.62224148	0.016343496	31.40650084	2647.690444	84.30389802	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	350	7November1995	11.8	8.2	1750	NA	NA	NA	NA	NA	NA	NA	30.1466	100	NA	0.003	dm	NA	NA	6.2658189	9.2666574	11.1505186	14.212643	0.62224148	0.013505895	26.64788087	2718.516205	102.0162248	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	369	7November1995	9.2	8.2	1750	NA	NA	NA	NA	NA	NA	NA	27.7542	100	NA	0.003	dm	NA	NA	5.2632954	9.55625	10.4535964	13.1974714	0.46166288	0.012098151	33.35128431	2818.072595	84.49667391	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	404	7November1995	2.6	8.2	1750	NA	NA	NA	NA	NA	NA	NA	24.7569	100	NA	0.003	dm	NA	NA	4.7620287	8.3979074	8.7113416	12.1822597	0.42151823	0.012149514	33.71772632	2590.296003	76.82297374	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
Dinka	Changes in nutrient and fibre content of decomposing Phragmites australis litter	2004	International Review of Hydrobiology	10.1002/iroh.200410772	lake	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Phragmites_australis	1	484	7November1995	6.6	8.2	1750	NA	NA	NA	NA	NA	NA	NA	24.7091	100	NA	0.003	dm	NA	NA	5.5139238	8.1083426	8.3628974	12.6898856	0.38137358	0.013703859	38.81985358	2392.187811	61.62279326	NA	dm	LakeFerto_NeusidlerSee	NA	47.715_16.686	2	n	n	n	n	ea	ea	H2SO4 digestion with molybdenum blue method	molar	
