First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	1	0	Oct-94	5	NA	NA	NA	NA	740	NA	NA	NA	570	100	3.25	NA	0.012	afdm	0.5327	NA	NA	NA	NA	NA	0.761	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	10	n	n	n	n	NA	NA	Kjeldahl	NA	Litter N is Kjeldahl N. Condensed Tannin concentrations via butanol-HCl method (Porter et al 1986). pH ranged from 4.6-7.4 in 1994 and from 8.5-9.2 in 1995. Flow ranged from 0.10-0.40 m/s
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	1	1	Oct-94	5	NA	NA	NA	NA	740	NA	NA	NA	570	84.59665677	3.25	NA	0.012	afdm	NA	NA	NA	NA	NA	NA	0.641682169	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	10	n	n	n	n	NA	NA	Kjeldahl	NA	
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	1	7	Oct-94	5	NA	NA	NA	NA	740	NA	NA	NA	570	67.22950279	3.25	NA	0.012	afdm	NA	NA	NA	NA	NA	NA	0.691421021	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	15	n	n	n	n	NA	NA	Kjeldahl	NA	
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	1	20	Oct-94	5	NA	NA	NA	NA	740	NA	NA	NA	570	54.6461646	3.25	NA	0.012	afdm	NA	NA	NA	NA	NA	NA	0.659662631	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	7	n	n	n	n	NA	NA	Kjeldahl	NA	
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	1	63	Oct-94	5	NA	NA	NA	NA	740	NA	NA	NA	570	46.19158561	3.25	NA	0.012	afdm	NA	NA	NA	NA	NA	NA	0.776841514	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	8	n	n	n	n	NA	NA	Kjeldahl	NA	
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	2	0	Oct-95	5.9	NA	NA	NA	NA	740	NA	NA	NA	570	100	3.25	NA	0.014	afdm	0.288	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	10	n	n	n	n	NA	NA	Kjeldahl	NA	
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	2	14	Oct-95	5.9	NA	NA	NA	NA	740	NA	NA	NA	570	64.58888963	3.25	NA	0.014	afdm	NA	NA	NA	NA	NA	NA	0.758596597	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	10	n	n	n	n	NA	NA	Kjeldahl	NA	
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	2	28	Oct-95	5.9	NA	NA	NA	NA	740	NA	NA	NA	570	56.82637539	3.25	NA	0.014	afdm	NA	NA	NA	NA	NA	NA	0.6790431	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	15	n	n	n	n	NA	NA	Kjeldahl	NA	
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus angustifolia	2	84	Oct-95	5.9	NA	NA	NA	NA	740	NA	NA	NA	570	29.30912015	3.25	NA	0.014	afdm	NA	NA	NA	NA	NA	NA	0.561062382	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	8	n	n	n	n	NA	NA	Kjeldahl	NA	
Driebe	Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition	2000	Oecologia	10.1007/s004420050994	stream	NA	0.25	NA	litter_bag	3	field	NA	NA	NA	leaves	senesced	Populus fremontii	3	0	Oct-94	5	NA	NA	NA	NA	740	NA	NA	NA	570	100	3.25	NA	0.017	afdm	0	NA	NA	NA	NA	NA	0.72	NA	NA	NA	NA	NA	afdm	"Weber River near Ogden, Utah"	1363	41.2_-112.0	10	n	n	n	n	NA	NA	Kjeldahl	NA	
