First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.03	riffle	litter_bag	6	field	light	forested	open	leaves	senesced	Acer_rubrum	1	0	14December2016	6.93	5.75	81.53	NA	89.68	0	370.68	NA	NA	645.41	100	4	NA	0.00716	dm	NA	NA	NA	NA	NA	50.263	0.913706667	0.114342961	64.28525546	1160.730342	18.15537315	NA	dm	Browning Run_Little Bennett Regional Park_ Clarksburg_ MD	NA	39.273750_-77.279275	3	y	y	y	n	molar	ea	ea	ash_acid_digest	k calculated using subsamples for initial masses and set of leaf disks for final masses weighed for other purposes
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.12	riffle	litter_bag	6	field	light	forested	open	leaves	senesced	Acer_rubrum	1	28	14December2016	6.6	5.79	85.17	NA	16.3	25.24	363.01	NA	NA	285.66	63.01	4	NA	0.00716	dm	NA	NA	NA	NA	NA	43.6488	1.1507	0.101200457	44.43486	1139.1623	25.49874	544.7812981	dm	Browning Run_Little Bennett Regional Park_ Clarksburg_ MD	NA	39.273750_-77.279275	5	y	y	y	n	molar	ea	ea	ash_acid_digest	LULC was calculated after publication for my dissertation. I can provide as needd/wanted (RAE)
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.03	riffle	litter_bag	6	field	light	forested	shaded	leaves	senesced	Acer_rubrum	2	0	14December2016	6.93	5.75	81.53	NA	89.68	0	370.68	NA	NA	645.41	100	4	NA	0.00615	dm	NA	NA	NA	NA	NA	50.263	0.913706667	0.114342961	64.28525546	1160.730342	18.15537315	NA	dm	Browning Run_Little Bennett Regional Park_ Clarksburg_ MD	NA	39.273750_-77.279275	3	y	y	y	n	molar	ea	ea	ash_acid_digest	Any P that was below detection listed as 0
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.12	riffle	litter_bag	6	field	light	forested	shaded	leaves	senesced	Acer_rubrum	2	28	14December2016	6.6	5.79	85.17	NA	16.3	25.24	363.01	NA	NA	285.66	67.25	4	NA	0.00615	dm	NA	NA	NA	NA	NA	44.783	1.07078	0.09779279	48.80796	1199.5486	24.67376	352.1943229	dm	Browning Run_Little Bennett Regional Park_ Clarksburg_ MD	NA	39.273750_-77.279275	5	y	y	y	n	molar	ea	ea	ash_acid_digest	Data was published by category of high and low nutrient and ambient and shaded light but I have the data all separate by stream here since I had those measurements. If anything is missing in extracted data or is of question or concern I can easily provide.
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.04	riffle	litter_bag	6	field	light	forested	open	leaves	senesced	Acer_rubrum	3	0	15December2017	2.57	6.79	142.37	NA	6.88	179.15	5075.73	NA	NA	5515.62	100	4	NA	0.00896	dm	NA	NA	NA	NA	NA	50.263	0.913706667	0.114342961	64.28525546	1160.730342	18.15537315	NA	dm	Forest Stream_Central Maryland Research and Education Center_ Clarksville_ MD	NA	39.241675_-76.928547	3	y	y	y	n	molar	ea	ea	ash_acid_digest	"Initial mass given as approximate mass put into bags, but all mass measurements were taken on leaf disks to estimate mass loss (see extracted data)"
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.08	riffle	litter_bag	6	field	light	forested	open	leaves	senesced	Acer_rubrum	3	28	15December2017	9.1	6.92	137.23	NA	16.52	30.68	4497.3	NA	NA	3747.58	56.13	4	NA	0.00896	dm	NA	NA	NA	NA	NA	47.671	1.41322	0.113686482	39.43807	1101.5098	28.09079	543.3900027	dm	Forest Stream_Central Maryland Research and Education Center_ Clarksville_ MD	NA	39.241675_-76.928547	5	y	y	y	n	molar	ea	ea	ash_acid_digest	
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.04	riffle	litter_bag	6	field	light	forested	shaded	leaves	senesced	Acer_rubrum	4	0	15December2017	2.57	6.79	142.37	NA	6.88	179.15	5075.73	NA	NA	5515.62	100	4	NA	0.0068	dm	NA	NA	NA	NA	NA	50.263	0.913706667	0.114342961	64.28525546	1160.730342	18.15537315	NA	dm	Forest Stream_Central Maryland Research and Education Center_ Clarksville_ MD	NA	39.241675_-76.928547	3	y	y	y	n	molar	ea	ea	ash_acid_digest	
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.08	riffle	litter_bag	6	field	light	forested	shaded	leaves	senesced	Acer_rubrum	4	28	15December2017	9.1	6.92	137.23	NA	16.52	30.68	4497.3	NA	NA	3747.58	64.51	4	NA	0.0068	dm	NA	NA	NA	NA	NA	49.163	1.2755	0.112073493	45.31951	1158.2338	25.52268	354.4369775	dm	Forest Stream_Central Maryland Research and Education Center_ Clarksville_ MD	NA	39.241675_-76.928547	5	y	y	y	n	molar	ea	ea	ash_acid_digest	
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.04	riffle	litter_bag	6	field	light	forested	open	leaves	senesced	Acer_rubrum	5	0	15December2017	1.27	6.07	46.63	NA	0	161.35	954.29	NA	NA	1134.87	100	4	NA	0.00603	dm	NA	NA	NA	NA	NA	50.263	0.913706667	0.114342961	64.28525546	1160.730342	18.15537315	NA	dm	Fern Valley Stream_Rachel Carson Conservation Park_ Brookeville_ MD	NA	39.214397_-77.079611	3	y	y	y	n	molar	ea	ea	ash_acid_digest	
Eckert	Macroinvertebrate community patterns in relation to leaf-associated periphyton under contrasting light and nutrient conditions in headwater streams	2020	Freshwater Biology	10.1111/fwb.13473	stream	NA	0.13	riffle	litter_bag	6	field	light	forested	open	leaves	senesced	Acer_rubrum	5	28	15December2017	7	6.02	45.07	NA	8.19	24.45	1134.02	NA	NA	1263.2	67.8	4	NA	0.00603	dm	NA	NA	NA	NA	NA	44.729	1.12404	0.080102957	46.4286	1475.6259	31.74145	233.5350515	dm	Fern Valley Stream_Rachel Carson Conservation Park_ Brookeville_ MD	NA	39.214397_-77.079611	5	y	y	y	n	molar	ea	ea	ash_acid_digest	
