First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	NA	forest	NA	leaves	senesced	Quercus rubra	1	4	10February1978	10.5	NA	NA	NA	3	NA	13	22	35	NA	NA	6.5	NA	0.015	dm_postleach	NA	NA	NA	NA	NA	NA	0.719268089	0.021	NA	NA	75.84119301	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	3	n	y	y	n	NA	NA	ea	acid_digestion	Preleached for 4 days then dried and placed back in stream. No correction factor. Therefore 4 days was added to each of the collection days
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	NA	forest	NA	leaves	senesced	Quercus rubra	1	22	10February1978	10.5	NA	NA	NA	3	NA	13	22	35	NA	NA	6.5	NA	0.015	dm_postleach	NA	NA	NA	NA	NA	NA	0.718450993	0.023	NA	NA	69.16764215	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	4	n	y	y	n	NA	NA	ea	acid_digestion	Ratio type not reported in paper as only percents used; assuming was calculated as molar ratio from %
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	NA	forest	NA	leaves	senesced	Quercus rubra	1	36	10February1978	10.5	NA	NA	NA	3	NA	13	22	35	NA	NA	6.5	NA	0.015	dm_postleach	NA	NA	NA	NA	NA	NA	0.870086501	0.033	NA	NA	58.38242753	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	4	n	y	y	n	NA	NA	ea	acid_digestion	
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	NA	forest	NA	leaves	senesced	Quercus rubra	1	50	10February1978	10.5	NA	NA	NA	3	NA	13	22	35	NA	NA	6.5	NA	0.015	dm_postleach	NA	NA	NA	NA	NA	NA	0.891211481	NA	NA	NA	NA	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	6	n	y	y	n	NA	NA	ea	acid_digestion	
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	NA	forest	NA	leaves	senesced	Quercus rubra	1	64	10February1978	10.5	NA	NA	NA	3	NA	13	22	35	NA	NA	6.5	NA	0.015	dm_postleach	NA	NA	NA	NA	NA	NA	0.84053206	NA	NA	NA	NA	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	6	n	y	y	n	NA	NA	ea	acid_digestion	
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	Whole-stream P addition	forest	NA	leaves	senesced	Quercus rubra	2	4	10February1978	10.5	NA	NA	NA	60	NA	13	22	35	NA	NA	6.5	NA	0.019	dm_postleach	NA	NA	NA	NA	NA	NA	0.719268089	0.021	NA	NA	75.84119301	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	3	n	y	y	n	NA	NA	ea	acid_digestion	
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	Whole-stream P addition	forest	NA	leaves	senesced	Quercus rubra	2	22	10February1978	10.5	NA	NA	NA	60	NA	13	22	35	NA	NA	6.5	NA	0.019	dm_postleach	NA	NA	NA	NA	NA	NA	0.856966111	0.031	NA	NA	61.21186504	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	4	n	y	y	n	NA	NA	ea	acid_digestion	
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	Whole-stream P addition	forest	NA	leaves	senesced	Quercus rubra	2	36	10February1978	10.5	NA	NA	NA	60	NA	13	22	35	NA	NA	6.5	NA	0.019	dm_postleach	NA	NA	NA	NA	NA	NA	0.960810989	0.052	NA	NA	40.91365474	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	4	n	y	y	n	NA	NA	ea	acid_digestion	
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	Whole-stream P addition	forest	NA	leaves	senesced	Quercus rubra	2	50	10February1978	10.5	NA	NA	NA	60	NA	13	22	35	NA	NA	6.5	NA	0.019	dm_postleach	NA	NA	NA	NA	NA	NA	0.991846942	NA	NA	NA	NA	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	6	n	y	y	n	NA	NA	ea	acid_digestion	
Elwood	The limiting role of phosphorus in a woodland stream ecosystem: effects of P enrichment on leaf decomposition and primary producers	1981	Ecology	10.2307/1936678	Stream	24	0.12	NA	litter_bag	3	Field	Whole-stream P addition	forest	NA	leaves	senesced	Quercus rubra	2	64	10February1978	10.5	NA	NA	NA	60	NA	13	22	35	NA	NA	6.5	NA	0.019	dm_postleach	NA	NA	NA	NA	NA	NA	0.98106412	NA	NA	NA	NA	NA	dm_postleach	"Walker Branch, Tennessee"	NA	35.958069_-84.279284	6	n	y	y	n	NA	NA	ea	acid_digestion	
