First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	0	1999	NA	6.96	33.75	NA	NA	NA	NA	NA	NA	NA	100	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	44.56	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	The authors likely have a lot more data for other plants and %C and %N values; Listing NA as light category; two experiments were conducted with the first in dark mesocosm but the second does not specify other than in a bucket; Large experiment lists leaf and stem but experiment used here does not specify. Assuming the same; Large experiment began in March 1999 but text suggests this started later; Some C:N have >1 sample size but not specified; Paper lists 16 degrees N but it is clearly S when looking on Google maps; Time series 1 has 4 extra days of CN data although not sure why; Initial mass may be wet weight; data collector calculated k
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	1	1999	NA	6.12	50.61	NA	NA	NA	NA	NA	NA	NA	88.65	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	51.56	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	2	1999	NA	6.09	58.01	NA	NA	NA	NA	NA	NA	NA	101.72	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	27.67	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	3	1999	NA	6.06	68.11	NA	NA	NA	NA	NA	NA	NA	89.66	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	30.22	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	5	1999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	68.11	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	7	1999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	69.22	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	8	1999	NA	6.39	90.91	NA	NA	NA	NA	NA	NA	NA	91.24	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	32.11	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	10	1999	NA	6.49	94.9	NA	NA	NA	NA	NA	NA	NA	NA	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	26.67	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	15	1999	NA	6.79	NA	NA	NA	NA	NA	NA	NA	NA	86.5	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	28.89	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
Fellerhoff	Stable carbon and nitrogen isotope signatures of decomposing tropical macrophytes	2003	Aquatic Ecology	10.1023/B:AECO.0000007049.25535.12	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	NA	NA	NA	leaves_stem	green	Eichhornia_crassipes	1	16	1999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-100	NA	0.009982659	dm	NA	NA	NA	NA	NA	NA	NA	NA	29.56	NA	NA	NA	dm	Baía Piuval_Poconé_Brazil	NA	-16.40_-56.67	1	n	y	y	n	ea	ea	NA	molar	
