First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_Method	P_method	Ratio_Type	Notes
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	eucalyptus_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	1	0	26November2002	11.7	6.3	34	NA	3.4	NA	137	5	NA	NA	100	5	NA	0.022908791	afdm	NA	NA	NA	NA	NA	NA	2.81	0.109	NA	NA	56.98793129	61.27	afdm	Caramulo_Mountains_Central_Portugal	215	40.51583_-8.30639	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	Manipulations were to compare rates between alder and oak leaves in streams flowing through deciduous forest or eucalyptus plantations in Spain and Portugal. Manipulation category reflects which country and which riparia
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	eucalyptus_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	1	7	26November2002	11.7	6.3	34	NA	3.4	NA	137	5	NA	NA	88.66	5	NA	0.022908791	afdm	NA	NA	NA	NA	NA	NA	3.01	0.106	NA	NA	62.77167253	204.71	afdm	Caramulo_Mountains_Central_Portugal	215	40.51583_-8.30639	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	Mass was 5.00 ± 0.25 g
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	eucalyptus_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	1	13	26November2002	11.7	6.3	34	NA	3.4	NA	137	5	NA	NA	80.82	5	NA	0.022908791	afdm	NA	NA	NA	NA	NA	NA	3.44	0.116	NA	NA	65.55465308	437.195	afdm	Caramulo_Mountains_Central_Portugal	215	40.51583_-8.30639	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	Calculated molar NP by converting percent NP ratio from mass to molar--see extracted data sheet
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	eucalyptus_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	1	20	26November2002	11.7	6.3	34	NA	3.4	NA	137	5	NA	NA	67.83	5	NA	0.022908791	afdm	NA	NA	NA	NA	NA	NA	3.72	0.11	NA	NA	74.75725131	499.895	afdm	Caramulo_Mountains_Central_Portugal	215	40.51583_-8.30639	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	Methods mention calculating a DM:AFDM but not listed in paper
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	eucalyptus_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	1	26	26November2002	11.7	6.3	34	NA	3.4	NA	137	5	NA	NA	54.22	5	NA	0.022908791	afdm	NA	NA	NA	NA	NA	NA	4.22	0.119	NA	NA	78.39142509	459.47	afdm	Caramulo_Mountains_Central_Portugal	215	40.51583_-8.30639	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	"Water chem data sometimes included means, often was ranges. Avg of range taken except used NA for eucalyptus_Spain as the range was from <1 to 49 without a mean. I assume the 49 was an outlier and likely towards lower end where mean does not work."
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	deciduous_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	2	0	26November2002	9.2	6.4	23	NA	4.5	NA	110.1	12	NA	NA	100	5	NA	0.025656346	afdm	NA	NA	NA	NA	NA	NA	2.79	0.109	NA	NA	56.58232324	59.895	afdm	Lousã_Mountains_Central_Portugal	640	40.07889_-8.20833	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	"degree day k's reported, but I calculated from %AFDM instead from extracted data"
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	deciduous_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	2	7	26November2002	9.2	6.4	23	NA	4.5	NA	110.1	12	NA	NA	88.86	5	NA	0.025656346	afdm	NA	NA	NA	NA	NA	NA	3.15	0.102	NA	NA	68.26741403	171.27	afdm	Lousã_Mountains_Central_Portugal	640	40.07889_-8.20833	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	Fungal community measured
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	deciduous_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	2	13	26November2002	9.2	6.4	23	NA	4.5	NA	110.1	12	NA	NA	76.9	5	NA	0.025656346	afdm	NA	NA	NA	NA	NA	NA	3.11	0.109	NA	NA	63.07205207	378.73	afdm	Lousã_Mountains_Central_Portugal	640	40.07889_-8.20833	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	deciduous_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	2	20	26November2002	9.2	6.4	23	NA	4.5	NA	110.1	12	NA	NA	63.09	5	NA	0.025656346	afdm	NA	NA	NA	NA	NA	NA	3.35	0.104	NA	NA	71.20566354	289.63	afdm	Lousã_Mountains_Central_Portugal	640	40.07889_-8.20833	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	
Ferreira	Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams	2006	Archiv für Hydrobiologie	10.1127/0003-9136/2006/0166-0467	stream	NA	NA	NA	litter_bag	10	field	deciduous_Portugal	forested	NA	leaves	senesced	Alnus glutinosa	2	26	26November2002	9.2	6.4	23	NA	4.5	NA	110.1	12	NA	NA	57.73	5	NA	0.025656346	afdm	NA	NA	NA	NA	NA	NA	3.21	0.1	NA	NA	70.95910064	314.71	afdm	Lousã_Mountains_Central_Portugal	640	40.07889_-8.20833	4-6	n	n	y	n	NA	ea	mixed acid digestion	molar	
