First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	1	0	5November2003	9.6	6.8	62	NA	71	NA	82	<10	NA	NA	NA	3.0-3.5	NA	0.0319	AFDM	NA	NA	NA	NA	NA	NA	2.5	0.094	NA	NA	58.79159263	55.44	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	Methods describe closed canopy
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	1	18	5November2003	9.6	6.8	62	NA	71	NA	82	<10	NA	NA	NA	3.0-3.5	NA	0.0319	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	367.46	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	"Sampling was done weekly for alder leaves for 5 weeks and at 2-3 week intervals for oak and balsa over 12-15 weeks, but exact sampling times are not detailed."
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	1	25	5November2003	9.6	6.8	62	NA	71	NA	82	<10	NA	NA	NA	3.0-3.5	NA	0.0319	AFDM	NA	NA	NA	NA	NA	NA	3.22	0.114	NA	NA	62.43873424	NA	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	" Initial litter N and P data was taken, followed by measurements for alder on day 25, oak on day 55, and balsa on day 86."
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	2	0	5November2003	9.6	6.8	62	NA	71	NA	987	<10	NA	NA	NA	3.0-3.5	NA	0.0416	AFDM	NA	NA	NA	NA	NA	NA	2.5	0.094	NA	NA	58.79159263	55.44	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	"Ergosterol was measured on day 0 and when authors expected peak: day 18 for alder, 40 for oak, and 47 for balsa."
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	2	18	5November2003	9.6	6.8	62	NA	71	NA	987	<10	NA	NA	NA	3.0-3.5	NA	0.0416	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	644.77	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	"Total number of days for decomposition is not detailed. Authors list k-values for each combination. Writing out data to include day 0 and the days when N, P, and ergosterol were measured."
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	2	25	5November2003	9.6	6.8	62	NA	71	NA	987	<10	NA	NA	NA	3.0-3.5	NA	0.0416	AFDM	NA	NA	NA	NA	NA	NA	3.08	0.143	NA	NA	47.61214517	NA	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	balsa veneers from store used--considering senesced
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	3	0	5November2003	9.6	6.8	62	NA	71	NA	503	<10	NA	NA	NA	3.0-3.5	NA	0.0328	AFDM	NA	NA	NA	NA	NA	NA	2.5	0.094	NA	NA	58.79159263	55.44	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	"Although invert info is available, extremely limited in paper. Likely need to contact authors to obtain."
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	3	18	5November2003	9.6	6.8	62	NA	71	NA	503	<10	NA	NA	NA	3.0-3.5	NA	0.0328	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	726.55	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	"N and P appear to have been measured on dried tissue, but ergosterol was on AFDM"
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	3	25	5November2003	9.6	6.8	62	NA	71	NA	503	<10	NA	NA	NA	3.0-3.5	NA	0.0328	AFDM	NA	NA	NA	NA	NA	NA	3.44	0.141	NA	NA	53.93148764	NA	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	Fungal community measured
Ferreira	Whole-stream nitrate addition affects litter decomposition and associated fungi but not invertebrates	2006	Oecologia	10.1007/s00442-006-0478-0	stream	1.9	NA	NA	litter_bag	10	field	whole-stream nitrate addition	forested	shaded	leaves	senesced	Alnus glutinosa	4	0	5November2003	9.6	6.8	62	NA	71	NA	297	<10	NA	NA	NA	3.0-3.5	NA	0.0363	AFDM	NA	NA	NA	NA	NA	NA	2.5	0.094	NA	NA	58.79159263	55.44	dm_afdm	Margaraça_Forest_Central_Portugal	725	40.217_-7.933	4	n	y	y	n	NA	Hot H2SO4 + CuSO4 digestion	Hot HCL digestion of ash	molar	Only breakdown rates were available for control experiment without nitrogen addition.
