First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	control	forested	NA	leaves	senesced	Quercus robur	1	0	27December2011	6.4	7.4	26.3	NA	2.5	NA	88.2	NA	NA	NA	NA	2.4	NA	0.0048	AFDM	NA	NA	NA	NA	NA	NA	0.98	0.451	NA	NA	4.803442584	NA	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	"Coarse bags were also used and the invertebrate community measured, but nutrient data was only measured on fine mesh bags."
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	control	forested	NA	leaves	senesced	Quercus robur	1	11	27December2011	6.4	7.4	26.3	NA	2.5	NA	88.2	NA	NA	NA	NA	2.4	NA	0.0048	AFDM	NA	NA	NA	NA	NA	NA	1.08	0.053	NA	NA	45.04545271	199.705	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	AFDM:DM was measured but not reported
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	control	forested	NA	leaves	senesced	Quercus robur	1	20	27December2011	6.4	7.4	26.3	NA	2.5	NA	88.2	NA	NA	NA	NA	2.4	NA	0.0048	AFDM	NA	NA	NA	NA	NA	NA	1.11	0.072	NA	NA	34.07952653	281.215	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	"Nutrient data reported for DM, ergosterol for AFDM"
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	control	forested	NA	leaves	senesced	Quercus robur	1	60	27December2011	6.4	7.4	26.3	NA	2.5	NA	88.2	NA	NA	NA	NA	2.4	NA	0.0048	AFDM	NA	NA	NA	NA	NA	NA	1.39	0.081	NA	NA	37.93436787	921.14	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	stream experimentallly warmed	forested	NA	leaves	senesced	Quercus robur	2	0	27December2011	9.2	7.3	26.4	NA	0.8	NA	108.3	NA	NA	NA	NA	2.4	NA	0.00664	AFDM	NA	NA	NA	NA	NA	NA	0.98	0.451	NA	NA	4.803442584	NA	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	stream experimentallly warmed	forested	NA	leaves	senesced	Quercus robur	2	11	27December2011	9.2	7.3	26.4	NA	0.8	NA	108.3	NA	NA	NA	NA	2.4	NA	0.00664	AFDM	NA	NA	NA	NA	NA	NA	1.06	0.054	NA	NA	43.39255029	327.91	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	stream experimentallly warmed	forested	NA	leaves	senesced	Quercus robur	2	20	27December2011	9.2	7.3	26.4	NA	0.8	NA	108.3	NA	NA	NA	NA	2.4	NA	0.00664	AFDM	NA	NA	NA	NA	NA	NA	1.19	0.059	NA	NA	44.5859495	412.775	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	stream experimentallly warmed	forested	NA	leaves	senesced	Quercus robur	2	60	27December2011	9.2	7.3	26.4	NA	0.8	NA	108.3	NA	NA	NA	NA	2.4	NA	0.00664	AFDM	NA	NA	NA	NA	NA	NA	1.48	0.081	NA	NA	40.39054996	722.095	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	control	forested	NA	leaves	senesced	Castanea sativa	3	0	27December2011	6.4	7.4	26.3	NA	2.5	NA	88.2	NA	NA	NA	NA	2.4	NA	0.00692	AFDM	NA	NA	NA	NA	NA	NA	0.95	0.121	NA	NA	17.35566685	NA	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	
Ferreira	"Effects of experimental warming, litter species, and presence of macroinvertebrates on litter decomposition and associated decomposers in a temperate mountain stream"	2015	Canadian Journal of Fisheries and Aquatic Sciences	10.1139/cjfas-2014-0119	stream	2.3	NA	NA	litter_ bag	0.5	field	control	forested	NA	leaves	senesced	Castanea sativa	3	11	27December2011	6.4	7.4	26.3	NA	2.5	NA	88.2	NA	NA	NA	NA	2.4	NA	0.00692	AFDM	NA	NA	NA	NA	NA	NA	0.92	0.048	NA	NA	42.36914109	587.73	dm_afdm	"Riberia do Candal, Central Portugal"	620	40.07889_-8.20278	3	n	y	y	n	NA	ea	Na-persulfate NaOH autoclave digestion	molar	
