First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	control	NA	NA	leaves	senesced	Typha latifolia	1	0	September2008	22.5	8.7	1224	NA	60	NA	100	NA	NA	NA	100	4	NA	0.0090287	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.74000_-59.10750	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	grassy plain=Pampean if have a term for LULC
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	control	NA	NA	leaves	senesced	Typha latifolia	1	2	September2008	22.5	8.7	1224	NA	60	NA	100	NA	NA	NA	82	4	NA	0.0090287	dm	NA	NA	NA	NA	NA	NA	NA	0.046	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.74000_-59.10750	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	Enriched with a comercial fertilizer mixed with urea replaced every 2-3 days in a downstream reach
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	control	NA	NA	leaves	senesced	Typha latifolia	1	24	September2008	22.5	8.7	1224	NA	60	NA	100	NA	NA	NA	67.3	4	NA	0.0090287	dm	NA	NA	NA	NA	NA	NA	NA	0.047	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.74000_-59.10750	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	Enzyme activity was measured
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	control	NA	NA	leaves	senesced	Typha latifolia	1	52	September2008	22.5	8.7	1224	NA	60	NA	100	NA	NA	NA	44.6	4	NA	0.0090287	dm	NA	NA	NA	NA	NA	NA	NA	0.189	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.74000_-59.10750	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	control	NA	NA	leaves	senesced	Typha latifolia	1	87	September2008	22.5	8.7	1224	NA	60	NA	100	NA	NA	NA	34.5	4	NA	0.0090287	dm	NA	NA	NA	NA	NA	NA	NA	0.115	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.74000_-59.10750	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	control	NA	NA	leaves	senesced	Typha latifolia	1	112	September2008	22.5	8.7	1224	NA	60	NA	100	NA	NA	NA	27.5	4	NA	0.0090287	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.74000_-59.10750	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	control	NA	NA	leaves	senesced	Typha latifolia	1	133	September2008	22.5	8.7	1224	NA	60	NA	100	NA	NA	NA	23.2	4	NA	0.0090287	dm	NA	NA	NA	NA	NA	NA	NA	0.124	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.74000_-59.10750	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	control	NA	NA	leaves	senesced	Typha latifolia	1	154	September2008	22.5	8.7	1224	NA	60	NA	100	NA	NA	NA	26.6	4	NA	0.0090287	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.74000_-59.10750	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	whole-stream phosphorus enrichment	NA	NA	leaves	senesced	Typha latifolia	2	0	September2008	23.3	8.3	1700	NA	150	NA	100	NA	NA	NA	100	4	NA	0.009586371	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.70194_-59.07667	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	whole-stream phosphorus enrichment	NA	NA	leaves	senesced	Typha latifolia	2	2	September2008	23.3	8.3	1700	NA	150	NA	100	NA	NA	NA	81.5	4	NA	0.009586371	dm	NA	NA	NA	NA	NA	NA	NA	0.051	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.70194_-59.07667	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	whole-stream phosphorus enrichment	NA	NA	leaves	senesced	Typha latifolia	2	24	September2008	23.3	8.3	1700	NA	150	NA	100	NA	NA	NA	61.3	4	NA	0.009586371	dm	NA	NA	NA	NA	NA	NA	NA	0.053	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.70194_-59.07667	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	whole-stream phosphorus enrichment	NA	NA	leaves	senesced	Typha latifolia	2	52	September2008	23.3	8.3	1700	NA	150	NA	100	NA	NA	NA	46.9	4	NA	0.009586371	dm	NA	NA	NA	NA	NA	NA	NA	0.201	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.70194_-59.07667	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	whole-stream phosphorus enrichment	NA	NA	leaves	senesced	Typha latifolia	2	87	September2008	23.3	8.3	1700	NA	150	NA	100	NA	NA	NA	34.5	4	NA	0.009586371	dm	NA	NA	NA	NA	NA	NA	NA	0.167	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.70194_-59.07667	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	whole-stream phosphorus enrichment	NA	NA	leaves	senesced	Typha latifolia	2	112	September2008	23.3	8.3	1700	NA	150	NA	100	NA	NA	NA	25.9	4	NA	0.009586371	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.70194_-59.07667	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	whole-stream phosphorus enrichment	NA	NA	leaves	senesced	Typha latifolia	2	133	September2008	23.3	8.3	1700	NA	150	NA	100	NA	NA	NA	29.5	4	NA	0.009586371	dm	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.70194_-59.07667	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
Ferreiro	Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream	2011	International Review of Hydrobiology	10.1002/iroh.201111332	stream	NA	NA	NA	litter_bag	10	field	whole-stream phosphorus enrichment	NA	NA	leaves	senesced	Typha latifolia	2	154	September2008	23.3	8.3	1700	NA	150	NA	100	NA	NA	NA	18.5	4	NA	0.009586371	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"La Choza stream, Pampean Argentina"	NA	-34.70194_-59.07667	5	n	y	n	y	NA	NA	Ashed Hot HCl digestion	NA	
