First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	5	field	coarse	forested	closed	leaves	senesced	Fraxinus excelsior	1	0	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	100	12.5	NA	0.032146932	AFDM	NA	NA	NA	NA	NA	26.39508929	0.788	NA	39.07437551	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	"Leaves were collected as ""freshly fallen""; given these experiments occurred in the northern hemisphere beginning in Sept, assuming this means abscissed and not fresh."
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	5	field	coarse	forested	closed	leaves	senesced	Fraxinus excelsior	1	14	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	51.015	12.5	NA	0.032146932	AFDM	NA	NA	NA	NA	NA	41.015625	2.624	NA	18.2339446	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	Experiment compared riparian zones with leaves submerged in the streams in coarse and fine mesh bags. Not including data from riparian zones.
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	5	field	coarse	forested	closed	leaves	senesced	Fraxinus excelsior	1	28	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	31.15	12.5	NA	0.032146932	AFDM	NA	NA	NA	NA	NA	38.05803571	1.753	NA	25.32559055	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	"Lists collections at 2, 4 ,6, and 8 weeks. Converted directly into days, assuming exact."
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	5	field	coarse	forested	closed	leaves	senesced	Fraxinus excelsior	1	42	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	25.65	12.5	NA	0.032146932	AFDM	NA	NA	NA	NA	NA	27.95758929	1.863	NA	17.50580125	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	End of Sept (no actual dates given) through Nov
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	5	field	coarse	forested	closed	leaves	senesced	Fraxinus excelsior	1	56	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	14.86	12.5	NA	0.032146932	AFDM	NA	NA	NA	NA	NA	23.10267857	0.741	NA	36.36966122	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	SRP-reported as inorganic P in Table 1
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	0.1	field	fine	forested	closed	leaves	senesced	Fraxinus excelsior	2	0	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	100	12.5	NA	0.0203	AFDM	NA	NA	NA	NA	NA	26.47727273	0.788	NA	39.19603703	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	Bags had 10-15 g initially; used average of 12.5
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	0.1	field	fine	forested	closed	leaves	senesced	Fraxinus excelsior	2	14	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	65.81	12.5	NA	0.0203	AFDM	NA	NA	NA	NA	NA	41.17424242	2.255	NA	21.29973493	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	"In Fig 1 for AFDM, not all 3 reps were readily visible. When not apparent, only 2 points were extracted to determine average value."
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	0.1	field	fine	forested	closed	leaves	senesced	Fraxinus excelsior	2	28	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	42.25	12.5	NA	0.0203	AFDM	NA	NA	NA	NA	NA	41.25	2.71	NA	17.75619026	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	"Paper is unclear whether C and N were on AFDM or DM--measured on Leco, some of their wording suggests it might have been AFDM, so this is what I'm reporting"
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	0.1	field	fine	forested	closed	leaves	senesced	Fraxinus excelsior	2	42	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	33.34	12.5	NA	0.0203	AFDM	NA	NA	NA	NA	NA	44.24242424	2.129	NA	24.24143821	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	"Assuming second site is at 47.85N, 15.07E--typo in paper, but this matches the general location."
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	10	0.105	NA	litter_bag	0.1	field	fine	forested	closed	leaves	senesced	Fraxinus excelsior	2	56	September2000	5.8	NA	390	NA	74	NA	NA	NA	NA	1020	33.925	12.5	NA	0.0203	AFDM	NA	NA	NA	NA	NA	37.53787879	2.184	NA	20.04990049	NA	NA	NA	dm	"Brzezowka Stream, Southern Poland"	270	49.87_20.03	3	NA	NA	NA	NA	ea	ea	NA	NA	"Carbon is listed at TOC, not TC, although methods don't specify a step removing the inorganic in any way, just reading in a LECO. Treating as authors stated that it is TOC and not including."
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	5	field	coarse	forested	open	leaves	senesced	Fraxinus excelsior	3	0	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	100	12.5	NA	0.014989349	AFDM	NA	NA	NA	NA	NA	26.61830357	0.788	NA	39.4048142	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	5	field	coarse	forested	open	leaves	senesced	Fraxinus excelsior	3	14	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	71.9	12.5	NA	0.014989349	AFDM	NA	NA	NA	NA	NA	41.12723214	1.682	NA	28.52322442	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	5	field	coarse	forested	open	leaves	senesced	Fraxinus excelsior	3	28	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	62.11	12.5	NA	0.014989349	AFDM	NA	NA	NA	NA	NA	39.39732143	2.035	NA	22.58382033	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	5	field	coarse	forested	open	leaves	senesced	Fraxinus excelsior	3	42	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	54.8	12.5	NA	0.014989349	AFDM	NA	NA	NA	NA	NA	41.62946429	2.192	NA	22.15416573	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	5	field	coarse	forested	open	leaves	senesced	Fraxinus excelsior	3	56	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	40.11	12.5	NA	0.014989349	AFDM	NA	NA	NA	NA	NA	43.52678571	2.686	NA	18.90365214	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	0.1	field	fine	forested	open	leaves	senesced	Fraxinus excelsior	4	0	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	100	12.5	NA	0.007331374	AFDM	NA	NA	NA	NA	NA	26.59090909	0.788	NA	39.36426036	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	0.1	field	fine	forested	open	leaves	senesced	Fraxinus excelsior	4	14	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	88.74	12.5	NA	0.007331374	AFDM	NA	NA	NA	NA	NA	41.81818182	2.145	NA	22.74222636	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	0.1	field	fine	forested	open	leaves	senesced	Fraxinus excelsior	4	28	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	87.92	12.5	NA	0.007331374	AFDM	NA	NA	NA	NA	NA	44.88636364	2.6	NA	20.13892124	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	0.1	field	fine	forested	open	leaves	senesced	Fraxinus excelsior	4	42	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	83.49	12.5	NA	0.007331374	AFDM	NA	NA	NA	NA	NA	41.02272727	2.004	NA	23.87931918	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
Fleituch	Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams	2004	International Review of Hydrobiology	10.1002/iroh.200410770	stream	40	0.045	NA	litter_bag	0.1	field	fine	forested	open	leaves	senesced	Fraxinus excelsior	4	56	September2000	6.1	NA	237	NA	67	NA	NA	NA	NA	790	61.71	12.5	NA	0.007331374	AFDM	NA	NA	NA	NA	NA	43.29545455	2.216	NA	22.79122535	NA	NA	NA	dm	"Oberer Seebach, lower Austria"	605	47.85_15.07	3	NA	NA	NA	NA	ea	ea	NA	NA	
