First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	0	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0172	dm	NA	NA	12.68	NA	NA	NA	1.882	0.07	NA	NA	61.70369736	NA	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	"Likely a lot more data to be mined if the authors are contacted. Data is only extractable for individual leaf treatments across the 8 species tested, but they also performed pairwise combinations of leaf species, for a total of 28 more treatments. The nutrient data is unavailable as provided, but authors likely have."
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Alnus_glutinosa	1	42	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0172	dm	NA	NA	NA	NA	NA	NA	2.729	0.111	NA	NA	55.93038544	249.4623656	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	"k are all listed in Supplemental Material A; all are listed as a negative value, so transforming to positive"
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Betula_pendula	2	0	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0163	dm	NA	NA	15.57	NA	NA	NA	0.551	0.384	NA	NA	3.263176303	NA	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	"Lignin and ergosterol is available, but not provided directly. Authors likely have."
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Betula_pendula	2	42	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0163	dm	NA	NA	NA	NA	NA	NA	1.376	0.154	NA	NA	20.44619557	790.4217274	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Betula_pendula	2	84	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0163	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Cornus_sanguinea	3	0	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0439	dm	NA	NA	3.35	NA	NA	NA	1.638	0.166	NA	NA	22.52276231	NA	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Cornus_sanguinea	3	21	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0439	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Cornus_sanguinea	3	42	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0439	dm	NA	NA	NA	NA	NA	NA	1.49	0.118	NA	NA	28.8665596	215.483871	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Fagus_sylvatica	4	0	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0023	dm	NA	NA	25.98	NA	NA	NA	0.623	0.017	NA	NA	85.09359743	NA	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	
Frainer	"No evidence for leaf-trait dissimilarity effects on litter decomposition, fungal decomposers, and nutrient dynamics"	2015	Ecology	10.1890/14-1151.1	stream	NA	NA	riffle	litter_bag	10	field	NA	NA	NA	leaves	senesced	Fagus_sylvatica	4	42	19November2007	1.5	7.13	80.3	NA	15.8	NA	681	7.8	NA	NA	NA	4	NA	0.0023	dm	NA	NA	NA	NA	NA	NA	0.859	0.052	NA	NA	37.62921485	265.8064516	dm	"Steina, Southwestern Black Forest, Germany"	717	47.7874_8.3244	NA	n	n	n	n	NA	Digestion and spectophotometry following Ebina et al 1983 	Digestion and spectophotometry following Ebina et al 1983 	molar	
