First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm      	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_leaves	green	Eichhornia_crassipes	1	0	NA	28	8.3	NA	4.87804878	0	NA	1587.301587	0	NA	NA	100	5	NA	0.037	dm	NA	NA	NA	NA	NA	41.61290323	4.264534884	0.58317757	11.55825803	184.0032113	16.16493376	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	Flasks were aerated / It is not mentionned if C:N:P ratios are molar or mass (but are approx. C_perc/N_perc so are TRANSFORMED) / SRP = PO4-P / Fluxes are measured from plants to water (leachate and nutrient release)/plants collected when matured (green) but dried before use/ lat_long of lake from google maps not from paper/ molar ratios were calculated after checking that reported ratios were mass (by comparing %C/%N) but left Ratio_Type as NA because not stated in paper/ plant P analysis methods were not stated
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_leaves	green	Eichhornia_crassipes	1	3	NA	28	NA	NA	58.53658537	2370.967742	NA	8253.968254	3376.205788	NA	NA	63.88888889	5	NA	0.037	dm	NA	NA	NA	NA	NA	43.74193548	4.735465116	0.520872274	10.84478531	216.5533732	20.09714987	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_leaves	green	Eichhornia_crassipes	1	8	NA	28	NA	NA	78.04878049	3951.612903	NA	10317.46032	14630.22508	NA	NA	56.17283951	5	NA	0.037	dm	NA	NA	NA	NA	NA	46.25806452	4.997093023	0.585669782	10.84478531	203.6727084	18.86112908	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_leaves	green	Eichhornia_crassipes	1	16	NA	28	NA	NA	118.2926829	3522.580645	NA	16666.66667	26045.01608	NA	NA	45.0617284	5	NA	0.037	dm	NA	NA	NA	NA	NA	46.25806452	4.735465116	0.600623053	11.41556348	198.6020186	17.42864864	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_leaves	green	Eichhornia_crassipes	1	36	NA	28	NA	NA	54.87804878	2777.419355	NA	14444.44444	160.7717042	NA	NA	33.33333333	5	NA	0.037	dm	NA	NA	NA	NA	NA	46.25806452	5.311046512	0.573208723	10.27400714	208.1003759	20.48190673	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_leaves	green	Eichhornia_crassipes	1	61	NA	28	NA	NA	59.75609756	3161.290323	NA	15238.09524	0	NA	NA	7.407407407	5	NA	0.037	dm	NA	NA	NA	NA	NA	46.25806452	6.933139535	0.538317757	7.990894438	221.5883633	28.47044827	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_leaves	green	Eichhornia_crassipes	1	94	NA	28	NA	NA	50	2258.064516	NA	15555.55556	0	NA	NA	4.938271605	5	NA	0.037	dm	NA	NA	NA	NA	NA	46.4516129	5.965116279	0.52834891	9.132450786	226.713917	24.95750508	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_petioles	green	Eichhornia_crassipes	2	0	NA	28	8.3	NA	4.87804878	0	NA	1587.301587	0	NA	NA	100	5	NA	0.044	dm	NA	NA	NA	NA	NA	32.70967742	2.093023256	0.485981308	18.6929852	173.5620989	9.520451795	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_petioles	green	Eichhornia_crassipes	2	3	NA	28	NA	NA	7.317073171	67.74193548	NA	1428.571429	0	NA	NA	89.19753086	5	NA	0.044	dm	NA	NA	NA	NA	NA	30	1.648255814	0.513395639	21.68957062	150.6840476	7.097011536	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_petioles	green	Eichhornia_crassipes	2	8	NA	28	NA	NA	7.317073171	158.0645161	NA	1269.84127	0	NA	NA	82.40740741	5	NA	0.044	dm	NA	NA	NA	NA	NA	34.83870968	1.936046512	0.585669782	21.68957062	153.3936716	7.307453153	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
Gamage	Decomposition and mineralization of Eichhornia crassipes litter under aerobic conditions with and without bacteria	2005	Hydrobiologia	10.1007/s10750-004-4663-z	lake	NA	NA	NA	beaker	NA	lab	Antibiotics addition control treatment	NA	dark	plant_petioles	green	Eichhornia_crassipes	2	16	NA	28	NA	NA	10.97560976	158.0645161	NA	2063.492063	0	NA	NA	65.74074074	5	NA	0.044	dm	NA	NA	NA	NA	NA	43.35483871	1.49127907	0.493457944	34.38938499	226.5612478	6.680544293	NA	dm	"Teganuma Lake,Japan"	NA	35.851168_140.053471	3	NA	n	n	y	NA	ea	ea	NA	
