First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Aspidosperma discolor	1	0	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	0.0068	afdm	NA	19.1	48.5	24.5	NA	NA	0.58	0.24	NA	NA	5.34219605	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2005	includes sporulation rates for fungi; water was collected from a stream but leaves were incubated in aerated tanks - unclear if there was advective flow; P analyzed with ascorbic acid method but digestion method not stated
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Aspidosperma discolor	1	10	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.14511041	2	NA	0.0068	afdm	NA	5.4	57.4	26.1	NA	NA	0.7	0.25	NA	NA	6.189578872	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2006	
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Calophyllum brasiliense	2	0	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	0.0073	afdm	NA	20.7	30.9	34.6	NA	NA	0.76	0.02	NA	NA	84.00142755	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2007	
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Calophyllum brasiliense	2	10	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.75078864	2	NA	0.0073	afdm	NA	5.3	40	36.3	NA	NA	0.64	0.1	NA	NA	14.14760885	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2008	
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Copaifera langsdorffii	3	0	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	0.0115	afdm	NA	14	28.7	25.5	NA	NA	0.99	0.12	NA	NA	18.23715203	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2009	
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Copaifera langsdorffii	3	10	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.87066246	2	NA	0.0115	afdm	NA	7	37	28.7	NA	NA	0.76	0.13	NA	NA	12.92329655	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2010	
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Emmotum nitens	4	0	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	0.0046	afdm	NA	7.7	63.3	27.8	NA	NA	0.47	0.17	NA	NA	6.11155897	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2011	
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Emmotum nitens	4	10	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.58990536	2	NA	0.0046	afdm	NA	2.3	68.1	25.8	NA	NA	1.17	0.2	NA	NA	12.93179872	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2012	
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Eucalyptus camaldulensis	5	0	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	0.0141	afdm	NA	12.7	17.6	17.8	NA	NA	1.63	0.53	NA	NA	6.798526659	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2013	
Gomes	The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes	2016	Limnologica	10.1016/j.limno.2016.05.005	stream	NA	NA	NA	litter_bag	10	microcosms	NA	forested	NA	leaves	senesced	Eucalyptus camaldulensis	5	10	NA	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.90851735	2	NA	0.0141	afdm	NA	7.1	27.9	25.2	NA	NA	1.69	0.5	NA	NA	7.471705924	NA	dm	"Ecological Station of the Botanical Garden of Brasilia, Brasil"	1056	-15.948237_-47.949612	3	y	n	y	n	molar	NA	digest_Kjeldahl	ascorbic acid according to Flindt and Lillebo 2014	
