First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	24.8	0.28	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	1	0	Jan-12	8.7	8.6	558.1	NA	1	NA	400	21.9	NA	NA	100	NA	NA	0.000702272	afdm	NA	NA	13.8	59	NA	49	0.166	0.0064	344.3365469	19743.05266	57.33650071	0	dm_afdm	"Arroyo Blanco, Segura River catchment, SE IberianPeninsula"	1050	38.165_-2.216389	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	"Chícamo latitude incorrect in paper. River shows up on Google maps, adjusted to correct latitude, assuming just degree was wrong (34 listed, should be 38)"
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	24.8	0.28	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	1	15	Jan-12	8.7	8.6	558.1	NA	1	NA	400	21.9	NA	NA	95.84	NA	NA	0.000702272	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.349	dm_afdm	"Arroyo Blanco, Segura River catchment, SE IberianPeninsula"	1050	38.165_-2.216389	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	"Experiment used wooden tongue depressors, described as birch, untreated. They were attached to plastic mesh holdings with fishing line in replicate sets after individually weighing and tagging with aluminum tags."
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	24.8	0.28	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	1	30	Jan-12	8.7	8.6	558.1	NA	1	NA	400	21.9	NA	NA	96.09	NA	NA	0.000702272	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.811	dm_afdm	"Arroyo Blanco, Segura River catchment, SE IberianPeninsula"	1050	38.165_-2.216389	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	Area described as having few scattered trees and some shrubs. May be safe to assume open.
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	24.8	0.28	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	1	60	Jan-12	8.7	8.6	558.1	NA	1	NA	400	21.9	NA	NA	98.87	NA	NA	0.000702272	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.8	dm_afdm	"Arroyo Blanco, Segura River catchment, SE IberianPeninsula"	1050	38.165_-2.216389	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	Placed into non-pool areas.
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	24.8	0.28	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	1	90	Jan-12	8.7	8.6	558.1	NA	1	NA	400	21.9	NA	NA	95.15	NA	NA	0.000702272	afdm	NA	NA	11.8	60.4	NA	47.7	0.204	0.0027	272.7616692	45556.75826	167.0203823	64.8	dm_afdm	"Arroyo Blanco, Segura River catchment, SE IberianPeninsula"	1050	38.165_-2.216389	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	"Ergosterol is per AFDM, but rest are DM"
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	24.8	0.28	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	1	132	Jan-12	8.7	8.6	558.1	NA	1	NA	400	21.9	NA	NA	88.4	NA	NA	0.000702272	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.8	dm_afdm	"Arroyo Blanco, Segura River catchment, SE IberianPeninsula"	1050	38.165_-2.216389	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	"k is calculated for all but time series 6, taken from table. K calculations are in extracted data, using whatever points were extractable for AFDM."
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	179.5	0.29	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	2	0	Jan-12	12.1	8.5	627.7	NA	0.8	NA	400	21.4	NA	NA	100	NA	NA	0.002923792	afdm	NA	NA	13.8	59	NA	49	0.166	0.0064	344.3365469	19743.05266	57.33650071	0	dm_afdm	"Alhárabe, Segura River Catchment, SE IberianPeninsula"	701	38.21389_-1.96278	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	streams span a gradient of salinity…measured by conductivity. Some quite high…
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	179.5	0.29	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	2	15	Jan-12	12.1	8.5	627.7	NA	0.8	NA	400	21.4	NA	NA	NA	NA	NA	0.002923792	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.826	dm_afdm	"Alhárabe, Segura River Catchment, SE IberianPeninsula"	701	38.21389_-1.96278	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	179.5	0.29	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	2	30	Jan-12	12.1	8.5	627.7	NA	0.8	NA	400	21.4	NA	NA	97.86	NA	NA	0.002923792	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.25	dm_afdm	"Alhárabe, Segura River Catchment, SE IberianPeninsula"	701	38.21389_-1.96278	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	
Gomez	The effect of water salinity on wood breakdown in semiarid Mediterranean streams	2016	Science of the Total Environment	10.1016/j.scitotenv.2015.09.040	stream	179.5	0.29	riffle	nylon_string	open	field	NA	NA	NA	wood_veneer	manufactured	Betula sp	2	60	Jan-12	12.1	8.5	627.7	NA	0.8	NA	400	21.4	NA	NA	85.8	NA	NA	0.002923792	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.9	dm_afdm	"Alhárabe, Segura River Catchment, SE IberianPeninsula"	701	38.21389_-1.96278	5	n	n	n	n	ea	ea	Inductively coupled plasma - optical emission spectrometry	molar	
