First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_method	N_method	P_method	Notes
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.32	NA	NA	litter_bag	5	field	Reference (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	3	0	7December2000	12	NA	NA	NA	3.7	NA	16.9	10.4	27.3	NA	NA	15	NA	0.0037	afdm	NA	NA	NA	NA	NA	NA	NA	NA	158.3	NA	NA	NA	NA	"Reference Stream, Catchment 53, Coweeta Hydrologic Lab, North Carolina"	820	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	"Pulled discharge, pH, and water chemistry data from another publication, Greenwood and Rosemond (2005) in Canadian Journal of Fisheries and Aquatic Science. Hal assumed litter C:N was reported as molar, given molar was also mentioned for dissolved N:P ratios in the paper. The C:N and raw data were challenging to pull from figures, so Hal placed the cursor on the fitted lines to get C:N means at each date, instead of measuring each of the individual symbols (replicates) on each date separately. Hal only pulled mean K-values from Fig 1 for this reason.The pre-treatment YR 1 data did not include C:N of the litter, so these data were not included."
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.32	NA	NA	litter_bag	5	field	Reference (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	3	5	7December2000	12	NA	NA	NA	3.7	NA	16.9	10.4	27.3	NA	NA	15	NA	0.0037	afdm	NA	NA	NA	NA	NA	NA	NA	NA	161.2	NA	NA	NA	NA	"Reference Stream, Catchment 53, Coweeta Hydrologic Lab, North Carolina"	820	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.32	NA	NA	litter_bag	5	field	Reference (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	3	14	7December2000	12	NA	NA	NA	3.7	NA	16.9	10.4	27.3	NA	NA	15	NA	0.0037	afdm	NA	NA	NA	NA	NA	NA	NA	NA	159.7	NA	NA	NA	NA	"Reference Stream, Catchment 53, Coweeta Hydrologic Lab, North Carolina"	820	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.32	NA	NA	litter_bag	5	field	Reference (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	3	28	7December2000	12	NA	NA	NA	3.7	NA	16.9	10.4	27.3	NA	NA	15	NA	0.0037	afdm	NA	NA	NA	NA	NA	NA	NA	NA	151.2	NA	NA	NA	NA	"Reference Stream, Catchment 53, Coweeta Hydrologic Lab, North Carolina"	820	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.32	NA	NA	litter_bag	5	field	Reference (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	3	54	7December2000	12	NA	NA	NA	3.7	NA	16.9	10.4	27.3	NA	NA	15	NA	0.0037	afdm	NA	NA	NA	NA	NA	NA	NA	NA	140.6	NA	NA	NA	NA	"Reference Stream, Catchment 53, Coweeta Hydrologic Lab, North Carolina"	820	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.32	NA	NA	litter_bag	5	field	Reference (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	3	118	7December2000	12	NA	NA	NA	3.7	NA	16.9	10.4	27.3	NA	NA	15	NA	0.0037	afdm	NA	NA	NA	NA	NA	NA	NA	NA	115	NA	NA	NA	NA	"Reference Stream, Catchment 53, Coweeta Hydrologic Lab, North Carolina"	820	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.32	NA	NA	litter_bag	5	field	Reference (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	3	167	7December2000	12	NA	NA	NA	3.7	NA	16.9	10.4	27.3	NA	NA	15	NA	0.0037	afdm	NA	NA	NA	NA	NA	NA	NA	NA	102.2	NA	NA	NA	NA	"Reference Stream, Catchment 53, Coweeta Hydrologic Lab, North Carolina"	820	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.32	NA	NA	litter_bag	5	field	Reference (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	3	264	7December2000	12	NA	NA	NA	3.7	NA	16.9	10.4	27.3	NA	NA	15	NA	0.0037	afdm	NA	NA	NA	NA	NA	NA	NA	NA	76.3	NA	NA	NA	NA	"Reference Stream, Catchment 53, Coweeta Hydrologic Lab, North Carolina"	820	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.53	NA	NA	litter_bag	5	field	Treatment (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	4	0	7December2000	12	NA	NA	NA	51.2	NA	308.9	105.5	414.4	NA	NA	15	NA	0.0077	afdm	NA	NA	NA	NA	NA	NA	NA	NA	171.8	NA	NA	NA	NA	"Treatment Stream, Catchment 54, Coweeta Hydrologic Lab, North Carolina"	841	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
Greenwood	Nutrients stimulate leaf breakdown rates and detritivore biomass: bottom-up effects via heterotrophic pathways	2007	Oecologia	10.1007/s00442-006-0609-7	stream	0.53	NA	NA	litter_bag	5	field	Treatment (post-treatment Year 1)	forest	NA	leaves	senesced	Rhododendron_maximum	4	5	7December2000	12	NA	NA	NA	51.2	NA	308.9	105.5	414.4	NA	NA	15	NA	0.0077	afdm	NA	NA	NA	NA	NA	NA	NA	NA	164.2	NA	NA	NA	NA	"Treatment Stream, Catchment 54, Coweeta Hydrologic Lab, North Carolina"	841	35.061295_-83.432722	3	n	y	n	y	molar	ea	ea	NA	
