First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	1	5July2011	17	5.53	56	NA	40	NA	200	NA	NA	NA	100	0.372	NA	0.041	dm_postleach	NA	NA	NA	NA	NA	47.4	1.24	0.114	44.6	1073	24.1	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	"Time_Series 1 is tar spot infected, 2 adjacent and 3 uninfected; microbial data include fungal sporulation rates"
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	8	5July2011	16.7	6.24	65	NA	40	NA	230	NA	NA	NA	71.40495868	0.372	NA	0.041	dm_postleach	NA	NA	NA	NA	NA	47.8	0.91	0.054	61.3	2286	37.3	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	15	5July2011	16.6	6.04	51	NA	30	NA	330	NA	NA	NA	49.91735537	0.372	NA	0.041	dm_postleach	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	29	5July2011	16.5	5.9	45	NA	30	NA	370	NA	NA	NA	33.38842975	0.372	NA	0.041	dm_postleach	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	43	5July2011	17.2	5.9	58	NA	40	NA	630	NA	NA	NA	18.84297521	0.372	NA	0.041	dm_postleach	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	57	5July2011	18.3	5.96	42	NA	40	NA	530	NA	NA	NA	11.23966942	0.372	NA	0.041	dm_postleach	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	1	71	5July2011	13.8	6.29	70	NA	30	NA	340	NA	NA	NA	6.94214876	0.372	NA	0.041	dm_postleach	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	2	1	5July2011	17	5.53	56	NA	40	NA	200	NA	NA	NA	100	0.372	NA	0.044	dm_postleach	NA	NA	NA	NA	NA	44.9	0.73	0.098	71.8	1185	16.5	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	2	8	5July2011	16.7	6.24	65	NA	40	NA	230	NA	NA	NA	64.1322314	0.372	NA	0.044	dm_postleach	NA	NA	NA	NA	NA	44.9	0.79	0.043	66.3	2697	40.7	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
Grimmett	Tar-spot infection delays fungal colonization and decomposition of maple leaves	2012	FRESHWATER SCIENCE	10.1899/12-034.1	stream	NA	NA	NA	litter_bag	2	field	NA	NA	NA	leaf_disk	senesced	Acer_platanoides	2	15	5July2011	16.6	6.04	51	NA	30	NA	330	NA	NA	NA	42.97520661	0.372	NA	0.044	dm_postleach	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Boss Brook, Fenwick, Nova Scotia, Canada"	NA	45.716667_-64.165556	5	n	n	y	n	molar	ea	ea	hydrolysis_liquidN	
