First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_type	C_Method	N_Method	P_Method	Notes
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	0	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	100	4.75	NA	0.020790191	afdm	NA	NA	NA	NA	NA	NA	1.421052632	0.058361569	NA	NA	53.91590042	NA	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	study compared decomp in naturally eutriphied stream to low nutrient stream - not an enrichment experiment; the initial mass reported here is an average of the range (4.5-5 g); stream NH4 was reported as a range in the paper with BDL as lower limit and 117 and 13 ug/L as upper limits of time series 1 and 2 respectively
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	7	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	79.74193548	4.75	NA	0.020790191	afdm	NA	NA	NA	NA	NA	NA	2.131578947	0.060926983	NA	NA	77.46854643	NA	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	13	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	69.67741935	4.75	NA	0.020790191	afdm	NA	NA	NA	NA	NA	NA	2.692520776	0.08546783	NA	NA	69.75736122	NA	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	20	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	64.77419355	4.75	NA	0.020790191	afdm	NA	NA	NA	NA	NA	NA	3.639889197	0.085739075	NA	NA	94.00328439	NA	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	26	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	57.03225806	4.75	NA	0.020790191	afdm	NA	NA	NA	NA	NA	NA	4.425207756	0.087656971	NA	NA	111.7843134	NA	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	44	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	45.16129032	4.75	NA	0.020790191	afdm	NA	NA	NA	NA	NA	NA	3.315789474	0.07570574	NA	NA	96.98214777	NA	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	2	0	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	100	4.75	NA	0.045347594	afdm	NA	NA	NA	NA	NA	NA	1.421052632	0.058361569	NA	NA	53.91590042	59.638554	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	2	7	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	77.16129032	4.75	NA	0.045347594	afdm	NA	NA	NA	NA	NA	NA	2.281163435	0.079287639	NA	NA	63.70662148	251.807229	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	2	13	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	59.61290323	4.75	NA	0.045347594	afdm	NA	NA	NA	NA	NA	NA	3.016620499	0.08546783	NA	NA	78.15408062	528.463855	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
Gulis	Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01615.x	stream	NA	NA	riffle	litter_bag	10	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	2	20	25-Nov-02	10.7	6.5	25	NA	6	NA	72	NA	NA	NA	46.96774194	4.75	NA	0.045347594	afdm	NA	NA	NA	NA	NA	NA	3.440443213	0.091639801	NA	NA	83.13117416	616.26506	afdm	"Candal stream, Portugal"	620	40.078889_-8.202778	16	n	y	y	n	molar	NA	ea	acid_digest	
