First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_Method	N_Method	P_Method	Ratio_Type	Notes
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	0	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	47	0.901864035	0.061	60.8	2180	35.85526316	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	"P amendments to lab microcosms, Initial NP calculated from CN and CP, other NPs calculated from individual raw values and carried through. No grazers in microcosms. Sample sizes variable, from 3 within CN data to more than 5 for C data on some dates"
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	3	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	45.89653142	0.884014871	0.024801422	60.56412156	4772.011486	79.53176618	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	8	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	45.54080963	0.940578647	0.024751999	56.48078968	4744.480455	84.95766199	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	15	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	46.49462001	0.914852752	0.030027163	59.28524674	3992.883134	65.10378317	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	22	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	45.35576884	1.100678869	0.034908313	48.06921526	3350.440175	70.35264524	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	29	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	47.5222168	1.059760567	0.033263456	52.30992091	3684.067044	72.34508495	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	36	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	45.85745621	1.0434531	0.039149631	51.26632122	3020.511464	58.3154475	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	43	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	46.58026123	1.121647669	0.028034815	48.44406628	4284.522399	88.1871196	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	57	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	46.64130401	1.219229896	0.031950819	44.6252034	3764.323058	83.89806299	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
Halvorson	"Light and dissolved phosphorus interactively affect microbial metabolism, stoichiometry and decomposition of leaf litter"	2016	Freshwater Biology	10.1111/fwb.12763	NA	0	NA	NA	beaker	NA	lab	"Light and P manipulation (low light, low P)"	NA	shaded	leaf_disk	senesced	Acer saccharum	1	71	NA	10	NA	NA	0.5	10.6	NA	1497	30	1527	NA	NA	NA	NA	0.000937	afdm	NA	NA	NA	NA	NA	47.17824936	1.372904779	0.032384723	40.08635173	3756.642172	93.91231654	NA	dm	"Fayetteville, Arkansas"	NA	36.067089_-94.172387	3	n	n	y	y	ea	ea	persulfate_digestion	molar	
