First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_Method	N_Method	P_Method	Ratio_Type	Notes
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Quercus_nigra	1	1	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.000772	dm_postleach	NA	NA	NA	NA	NA	51.535	1.1575	0.019647592	54.96165532	7883.849955	147.6303839	NA	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	"Sample size was normally 4 streams, with 2 disks per measurement. Summarized data sent from Hal. 5 ug ergosterol/mg fungal dry mass"
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Quercus_nigra	1	3	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.000772	dm_postleach	NA	NA	NA	NA	NA	52.3375	1.33	0.018082266	53.42495115	8564.38593	196.1424927	31.57362891	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Quercus_nigra	1	7	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.000772	dm_postleach	NA	NA	NA	NA	NA	49.625	1.24625	0.05523312	49.39029434	3085.322779	59.26086517	42.81953573	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Quercus_nigra	1	11	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.000772	dm_postleach	NA	NA	NA	NA	NA	45.9925	1.26375	0.081575484	45.12077505	1643.262247	40.2177937	93.42814178	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Quercus_nigra	1	21	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.000772	dm_postleach	NA	NA	NA	NA	NA	48.3175	1.06875	0.126069224	53.20244245	1369.229957	26.71156375	116.1414357	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Quercus_nigra	1	32	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.000772	dm_postleach	NA	NA	NA	NA	NA	44.59875	1.33	0.122516509	39.53956707	1161.509084	29.73214741	150.9403377	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Quercus_nigra	1	44	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.000772	dm_postleach	NA	NA	NA	NA	NA	48.73125	1.555	0.167784658	37.56283195	773.4113969	21.70964329	201.4749064	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Liriodendron_tulipifera	2	1	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.007505	dm_postleach	NA	NA	NA	NA	NA	47.72125	0.94375	0.023528213	58.98148478	5436.582268	92.25741373	NA	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Liriodendron_tulipifera	2	3	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.007505	dm_postleach	NA	NA	NA	NA	NA	52.9025	0.9175	0.023919787	67.3778224	7950.852759	117.2554206	34.98020391	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
Halvorson	Periphytic algae decouple fungal activity from leaf litter decomposition via negative priming	2019	Functional Ecology	10.1111/1365-2435.13235	stream	NA	0.004	NA	pinned	NA	outdoor_mesocosm	Shadecloth	NA	shade	leaf_disk	senesced	Liriodendron_tulipifera	2	7	June2013	25.5	7.9	227	NA	329	NA	2.9	28.6	31.5	NA	NA	NA	NA	0.007505	dm_postleach	NA	NA	NA	NA	NA	50.99375	0.8175	0.041185452	74.15277381	3365.416533	46.63887327	70.77205781	dm	"Lake Thoreau Environmental Center, U Southern Miss"	NA	31.352585_-89.417445	4	n	n	y	n	ea	ea	acid_digestion	molar	
