First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	33	0.37	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	0	24November1999	6.8	7.3	44	NA	9	NA	245	NA	NA	NA	NA	5	NA	0.014	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.78	dm	Bayarcal stream, Sierra Nevada mtns, Spain	1720	37.066667,-3.016667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	leaf decomposition measured at different sites. Measured fungal sporulation rates and community. Temperatures are based on average of reported ranges (see supplement of paper). Physico-chemical variables also from the supplement.
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	33	0.37	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	5	24November1999	6.8	7.3	44	NA	9	NA	245	NA	NA	NA	NA	5	NA	0.014	dm	NA	NA	NA	NA	NA	NA	1.893	0.116	NA	NA	36.1	76.56	dm	Bayarcal stream, Sierra Nevada mtns, Spain	1720	37.066667,-3.016667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	33	0.37	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	17	24November1999	6.8	7.3	44	NA	9	NA	245	NA	NA	NA	NA	5	NA	0.014	dm	NA	NA	NA	NA	NA	NA	2.196	0.143	NA	NA	34	100.85	dm	Bayarcal stream, Sierra Nevada mtns, Spain	1720	37.066667,-3.016667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	33	0.37	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	34	24November1999	6.8	7.3	44	NA	9	NA	245	NA	NA	NA	NA	5	NA	0.014	dm	NA	NA	NA	NA	NA	NA	2.553	0.157	NA	NA	36	180.09	dm	Bayarcal stream, Sierra Nevada mtns, Spain	1720	37.066667,-3.016667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	33	0.37	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	70	24November1999	6.8	7.3	44	NA	9	NA	245	NA	NA	NA	NA	5	NA	0.014	dm	NA	NA	NA	NA	NA	NA	3.219	0.13	NA	NA	54.8	211.52	dm	Bayarcal stream, Sierra Nevada mtns, Spain	1720	37.066667,-3.016667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	33	0.37	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	104	24November1999	6.8	7.3	44	NA	9	NA	245	NA	NA	NA	NA	5	NA	0.014	dm	NA	NA	NA	NA	NA	NA	3.12	0.176	NA	NA	39.2	253.31	dm	Bayarcal stream, Sierra Nevada mtns, Spain	1720	37.066667,-3.016667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	33	0.37	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	1	152	24November1999	6.8	7.3	44	NA	9	NA	245	NA	NA	NA	NA	5	NA	0.014	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	190.56	dm	Bayarcal stream, Sierra Nevada mtns, Spain	1720	37.066667,-3.016667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	39	0.46	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	2	0	24November1999	8.85	6.8	59	NA	22	NA	135	NA	NA	NA	NA	5	NA	0.0131	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.19	dm	Jerez stream, Sierra Nevada mtns, Spain	1280	37.166667,-3.166667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	39	0.46	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	2	5	24November1999	8.85	6.8	59	NA	22	NA	135	NA	NA	NA	NA	5	NA	0.0131	dm	NA	NA	NA	NA	NA	NA	1.341	0.0969	NA	NA	30.6	30.69	dm	Jerez stream, Sierra Nevada mtns, Spain	1280	37.166667,-3.166667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
JesusCasas	Leaf-litter colonisation and breakdown in relation to stream typology: insights from Mediterranean low-order streams	2011	Freshwater Biology	10.1111/j.1365-2427.2011.02686.x	stream	39	0.46	riffle	litter_bag	5	field	NA	forested	NA	leaves	senesced	Alnus_glutinosa	2	17	24November1999	8.85	6.8	59	NA	22	NA	135	NA	NA	NA	NA	5	NA	0.0131	dm	NA	NA	NA	NA	NA	NA	1.166	0.0917	NA	NA	28.1	51.27	dm	Jerez stream, Sierra Nevada mtns, Spain	1280	37.166667,-3.166667	4	N	Y	Y	N	molar	NA	spectrophotometry	spectrophotometry	
