First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	0	4August2006	23.8	7.65	435.2	NA	20.7	NA	10.3	135	145.3	NA	100	5	0.95	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	19.7	NA	NA	223	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	"I assumed that C:N ratios were molar, but the paper did not report whether or not. It is a 2012 paper, so seems fair to assume the ratios are molar. Had to convert fungal biomass to ergosterol, using conversion factors in the paper. Only used control (non-herbicided) plant litter."
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	3	4August2006	23.2	7.6	473.5	NA	3.37	NA	3.4	166.5	169.9	NA	90.7	5	0.943	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	23.8	NA	NA	260	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	13	4August2006	20.7	7	644.1	NA	2.34	NA	0	53.2	53.2	NA	72.3	5	0.941	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	21.1	NA	NA	257	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	15	4August2006	21.9	6.95	676.6	NA	3.89	NA	7.7	75.5	83.2	NA	71	5	0.961	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	290	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	29	4August2006	20.1	6.97	591.8	NA	4.22	NA	24.7	34.8	59.5	NA	66	5	0.882	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	582	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	61	4August2006	14.7	7.01	230.5	NA	4.81	NA	24.9	33.6	58.5	NA	50	5	0.907	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	25.9	NA	NA	696	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	110	4August2006	5.1	6.69	167.7	NA	7.04	NA	100.2	54.3	154.5	NA	47.7	5	0.878	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	28.9	NA	NA	317	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	231	4August2006	9.1	7.02	280.5	NA	5.77	NA	75.5	90.4	165.9	NA	47.2	5	0.812	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	22.1	NA	NA	1229	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	266	4August2006	11.7	7.37	653.5	NA	9.57	NA	146.3	95.4	241.7	NA	34.2	5	0.753	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	NA	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
Kennedy	"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities"	2012	Fundamental and Applied Limnology	10.1127/1863-9135/2012/0179	wetland	NA	NA	NA	litter_bag	5	outdoor_mesocosm	Herbicide_control	NA	NA	leaves	NA	Phragmites_australis	1	293	4August2006	16	9.02	502.3	NA	5.9	NA	101.8	89.8	191.6	NA	24.3	5	0.781	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	22.6	NA	NA	495	dm	"Kent State University campus, Ohio"	345	41.146036_-81.341134	5	n	y	y	n	ea	ea	NA	NA	
