First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	1	0	23August1999	11.35	6.75	31.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.001	dm	NA	NA	NA	NA	NA	43.61	0.942	0.772	53.98848561	145.6756328	2.698272255	NA	dm	"Upper Grass Lake, Tahoe basin, California"	2346	38.793417_-119.963639	5	N	N	N	Y	ea	ea	"microwave acid digestion, ICP"	molar	"Excluded Miller Meadow b/c it dried during the study. Water temperature reported as ranges, so I took mean of minimum and maximum. I excluded water nutrient concentrations because the ranges seemed far too high, especially for SRP and NH4. I suspect a unit is off by some margin, but no knowing for sure. K-values are based on dry mass and were over the full 268 days of the study. Data for enzymes is available"
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	1	16	23August1999	11.35	6.75	31.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.001	dm	NA	NA	NA	NA	NA	43.24	1.017	0.803	49.58275956	138.8635511	2.800641842	NA	dm	"Upper Grass Lake, Tahoe basin, California"	2346	38.793417_-119.963639	5	N	N	N	Y	ea	ea	"microwave acid digestion, ICP"	molar	
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	1	31	23August1999	11.35	6.75	31.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.001	dm	NA	NA	NA	NA	NA	43.85	0.967	0.761	52.88214776	148.5946139	2.809920176	NA	dm	"Upper Grass Lake, Tahoe basin, California"	2346	38.793417_-119.963639	5	N	N	N	Y	ea	ea	"microwave acid digestion, ICP"	molar	
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	1	58	23August1999	11.35	6.75	31.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.001	dm	NA	NA	NA	NA	NA	44.51	0.949	0.698	54.69622375	164.4448582	3.006512094	NA	dm	"Upper Grass Lake, Tahoe basin, California"	2346	38.793417_-119.963639	5	N	N	N	Y	ea	ea	"microwave acid digestion, ICP"	molar	
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	1	107	23August1999	11.35	6.75	31.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.001	dm	NA	NA	NA	NA	NA	45.12	0.959	0.715	54.86766085	162.7350779	2.965956183	NA	dm	"Upper Grass Lake, Tahoe basin, California"	2346	38.793417_-119.963639	5	N	N	N	Y	ea	ea	"microwave acid digestion, ICP"	molar	
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	1	268	23August1999	11.35	6.75	31.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.001	dm	NA	NA	NA	NA	NA	45.21	1.082	0.807	48.72739653	144.4704746	2.964871609	NA	dm	"Upper Grass Lake, Tahoe basin, California"	2346	38.793417_-119.963639	5	n	n	n	y	ea	ea	acid_digest	molar	
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	2	0	23August1999	10.75	6.625	12.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.0009	dm	NA	NA	NA	NA	NA	44	1.188	0.933	43.19188892	121.6155644	2.81570377	NA	dm	"Lily Lake, Tahoe basin, California"	1992	"38.875611,-120.081972"	5	n	n	n	y	ea	ea	acid_digest	molar	
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	2	16	23August1999	10.75	6.625	12.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.0009	dm	NA	NA	NA	NA	NA	44.9	1.28	0.975	40.90744292	118.7571734	2.903070077	NA	dm	"Lily Lake, Tahoe basin, California"	1992	"38.875611,-120.081972"	5	n	n	n	y	ea	ea	acid_digest	molar	
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	2	31	23August1999	10.75	6.625	12.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.0009	dm	NA	NA	NA	NA	NA	44.49	1.305	1.03	39.75738906	111.3892573	2.801724658	NA	dm	"Lily Lake, Tahoe basin, California"	1992	"38.875611,-120.081972"	5	n	n	n	y	ea	ea	acid_digest	molar	
Kim	"Decomposition of macrophytes and dynamics of enzyme activities in subalpine marshes in Lake Tahoe basin, U.S.A."	2004	Plant & Soil	10.1007/s11104-005-1360-2	wetland	NA	NA	NA	litter_bag	1	field	no	NA	NA	leaves	green	Carex_rostrata	2	58	23August1999	10.75	6.625	12.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	0.0009	dm	NA	NA	NA	NA	NA	45.43	1.386	0.903	38.22482169	129.739767	3.394123536	NA	dm	"Lily Lake, Tahoe basin, California"	1992	"38.875611,-120.081972"	5	n	n	n	y	ea	ea	acid_digest	molar	
