First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaves	senesced	Betula_pubescens	1	0	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	100	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	318.5259536	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	"Study in ponds. Manipulated mesh size and collected invertebrates. Measured phenolics as well, but its expressed per unit C mass, so can't be converted to mass percent. Initial litter amounts in bags reported as wet mass only. Extracted N content of litter from figure and converted to molar C:N. Mass loss expressed as % initial C remaining. I was little surprised by the high C:N of the initial litter, but I double checked my conversion calculation is correct. pH was derived from average of reported ranges for each site."
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaves	senesced	Betula_pubescens	1	5	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	89.7	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	207.3311507	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaves	senesced	Betula_pubescens	1	12	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	73.6	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	115.9565676	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaves	senesced	Betula_pubescens	1	19	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	74	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	86.75313844	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaves	senesced	Betula_pubescens	1	33	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	68.7	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	76.51642743	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaves	senesced	Betula_pubescens	1	49	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	60.7	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	84.16807017	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaves	senesced	Betula_pubescens	1	63	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	53.2	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	70.26426298	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaves	senesced	Betula_pubescens	1	77	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	45.8	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	84.23613978	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaf_disk	senesced	Nymphaea_alba	2	0	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	100	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	394.7247251	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
Kok	Decomposition and macroinvertebrate colonization of aquatic and terrestrial leaf material in alkaline and acid still water	1994	Freshwater Biology	10.1111/j.1365-2427.1994.tb00839.x	lake	NA	NA	NA	litter_bag	0.27	field	fine mesh	NA	NA	leaf_disk	senesced	Nymphaea_alba	2	7	30September1989	NA	7.85	NA	NA	74.3	NA	210.1	658.3	868.4	NA	80.9	NA	NA	NA	organic_carbon	NA	NA	NA	NA	NA	NA	NA	NA	163.996043	NA	NA	NA	NA	"Ooypolder pond, Nijmegen, the Netherlands"	7	51.855000_5.899444	3	n	y	y	n	ea	ea	NA	molar	
