First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	single_species	forested	NA	leaves	senesced	Acer_rubrum	1	0	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	80.47	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	"Litter mixing study, but each leaf species was individually measured at the end. Ratios reported as mass, so converted to molar from those reported. Collected only C:N on day 50 into decomposition.  "
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	single_species	forested	NA	leaves	senesced	Acer_rubrum	1	50	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.86	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	50.38	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	single_species	forested	NA	leaves	senesced	Liriodendron_tulipifera	2	0	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	53.41	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	single_species	forested	NA	leaves	senesced	Liriodendron_tulipifera	2	50	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.41	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	41.28	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	single_species	forested	NA	leaves	senesced	Quercus_prinus	3	0	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	54.81	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	single_species	forested	NA	leaves	senesced	Quercus_prinus	3	50	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.53	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	47.46	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	single_species	forested	NA	leaves	senesced	Rhododendron_maximum	4	0	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	128.4	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	single_species	forested	NA	leaves	senesced	Rhododendron_maximum	4	50	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.28	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	93.64	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	mixed_with_Rhododendron	forested	NA	leaves	senesced	Acer_rubrum	5	0	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	80.47	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
Kominoski	Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?	2009	Oikos	10.1111/j.1600-0706.2008.17222.x	stream	NA	NA	NA	litter_bag	5	field	mixed_with_Rhododendron	forested	NA	leaves	senesced	Acer_rubrum	5	50	17September2006	9.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.12	5	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	NA	afdm	"Ball Creek, Coweeta Hydrological Laboratory, North Carolina, USA"	691	35.055517_-83.432194	5	n	n	y	y	ea	ea	NA	molar	
