First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	control	forested	shade	leaves	senesced	Acer_rubrum	1	0	23August11	23	NA	NA	NA	4.4	NA	NA	NA	54.5	NA	NA	1.1	NA	0.0036	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	Outdoor flume experiment manipulating dissolved nutrient concentrations and N:P. Data from figshare and contacting first author for some missing datapoints. Measured microbial respiration rates as well.
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	control	forested	shade	leaves	senesced	Acer_rubrum	1	14	23August11	23	NA	NA	NA	4.4	NA	NA	NA	54.5	NA	NA	1.1	NA	0.0036	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	54.2	4162.76	76.8	205.755	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	control	forested	shade	leaves	senesced	Acer_rubrum	1	59	23August11	23	NA	NA	NA	4.4	NA	NA	NA	54.5	NA	NA	1.1	NA	0.0036	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	56.38	5548.73	98.42	453.31	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P1	forested	shade	leaves	senesced	Acer_rubrum	2	0	23August11	23	NA	NA	NA	10	NA	NA	NA	54.9	NA	NA	1.1	NA	0.014	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P1	forested	shade	leaves	senesced	Acer_rubrum	2	14	23August11	23	NA	NA	NA	10	NA	NA	NA	54.9	NA	NA	1.1	NA	0.014	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	41.27	2737.45	66.34	252.34	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P1	forested	shade	leaves	senesced	Acer_rubrum	2	59	23August11	23	NA	NA	NA	10	NA	NA	NA	54.9	NA	NA	1.1	NA	0.014	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	49.21	2446.84	49.72	357.995	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P2	forested	shade	leaves	senesced	Acer_rubrum	3	0	23August11	23	NA	NA	NA	27.4	NA	NA	NA	55.2	NA	NA	1.1	NA	0.0145	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P2	forested	shade	leaves	senesced	Acer_rubrum	3	14	23August11	23	NA	NA	NA	27.4	NA	NA	NA	55.2	NA	NA	1.1	NA	0.0145	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	39.15	1531.93	39.13	459.855	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P2	forested	shade	leaves	senesced	Acer_rubrum	3	59	23August11	23	NA	NA	NA	27.4	NA	NA	NA	55.2	NA	NA	1.1	NA	0.0145	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	33.12	1221.01	36.87	314.105	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P3	forested	shade	leaves	senesced	Acer_rubrum	4	0	23August11	23	NA	NA	NA	36.2	NA	NA	NA	101.7	NA	NA	1.1	NA	0.014	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P3	forested	shade	leaves	senesced	Acer_rubrum	4	14	23August11	23	NA	NA	NA	36.2	NA	NA	NA	101.7	NA	NA	1.1	NA	0.014	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	76.99	4742.08	61.59	292.765	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P3	forested	shade	leaves	senesced	Acer_rubrum	4	59	23August11	23	NA	NA	NA	36.2	NA	NA	NA	101.7	NA	NA	1.1	NA	0.014	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	45.05	1909.06	42.38	368.665	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P4	forested	shade	leaves	senesced	Acer_rubrum	5	0	23August11	23	NA	NA	NA	44.4	NA	NA	NA	32.1	NA	NA	1.1	NA	0.0143	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
Kominoski	Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates	2015	Ecological Applications	10.1890/14-1113.1	stream	0.1	NA	NA	litter_bag	0.5	outdoor_mesocosm	N1P4	forested	shade	leaves	senesced	Acer_rubrum	5	14	23August11	23	NA	NA	NA	44.4	NA	NA	NA	32.1	NA	NA	1.1	NA	0.0143	AFDM	NA	NA	NA	NA	NA	NA	NA	NA	56.02	2319.07	41.4	392.095	AFDM	Shope Fork, Coweeta Hydrologic Laboratory, North Carolina, USA	693	35.060648, -83.431842	5	N	N	N	Y	ea	ea	combusted, acid diggestion, spectrophotometer	NA	
