First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Impatiens_glandulifera	1	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	20.6	NA	NA	NA	3.1	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	"Water temperature was averaged from the range reported. Streamside channels were used for the experiment. Lignin was measured as klason lignin, which the authors say may overestimate actual lignin contents. Replicates were single bags from 5 replicate channels. k not included here because based on AFDM (table 1)"
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Impatiens_glandulifera	1	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.81	3	NA	NA	afdm	NA	NA	50.5	NA	NA	NA	3.6	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Impatiens_glandulifera	1	32	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.11	3	NA	NA	afdm	NA	NA	49.6	NA	NA	NA	3.8	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Elaeagnus_angustifolia	2	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	24.6	NA	NA	NA	3.3	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Elaeagnus_angustifolia	2	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	3	NA	NA	afdm	NA	NA	35.2	NA	NA	NA	2.6	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Elaeagnus_angustifolia	2	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.66	3	NA	NA	afdm	NA	NA	41.8	NA	NA	NA	2.4	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Lythrum_salicaria	3	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	20.6	NA	NA	NA	0.9	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Lythrum_salicaria	3	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.3	3	NA	NA	afdm	NA	NA	35.7	NA	NA	NA	1.2	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Lythrum_salicaria	3	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.09	3	NA	NA	afdm	NA	NA	39.7	NA	NA	NA	1.3	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Alnus_rubra	4	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	37	NA	NA	NA	2.2	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Alnus_rubra	4	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.25	3	NA	NA	afdm	NA	NA	49.1	NA	NA	NA	2.8	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Alnus_rubra	4	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.03	3	NA	NA	afdm	NA	NA	51.9	NA	NA	NA	2.8	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	whole_plant	NA	Lysichiton_americanus	5	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	15.2	NA	NA	NA	2.8	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	whole_plant	NA	Lysichiton_americanus	5	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.46	3	NA	NA	afdm	NA	NA	30.5	NA	NA	NA	2.7	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	whole_plant	NA	Lysichiton_americanus	5	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.22	3	NA	NA	afdm	NA	NA	30.8	NA	NA	NA	2.1	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Rubus_armeniacus	6	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	31.1	NA	NA	NA	0.9	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Rubus_armeniacus	6	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.63	3	NA	NA	afdm	NA	NA	37.3	NA	NA	NA	1	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Rubus_armeniacus	6	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.16	3	NA	NA	afdm	NA	NA	40.9	NA	NA	NA	0.9	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Rubus_spectabilis	7	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	31.6	NA	NA	NA	2.3	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Rubus_spectabilis	7	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.78	3	NA	NA	afdm	NA	NA	37.9	NA	NA	NA	1.9	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Rubus_spectabilis	7	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.94	3	NA	NA	afdm	NA	NA	40.6	NA	NA	NA	2.4	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	whole_plant	NA	Polystichum_munitum	8	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	39.5	NA	NA	NA	1.5	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	whole_plant	NA	Polystichum_munitum	8	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.13	3	NA	NA	afdm	NA	NA	45	NA	NA	NA	1.4	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	whole_plant	NA	Polystichum_munitum	8	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.11	3	NA	NA	afdm	NA	NA	49.1	NA	NA	NA	1.7	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Fallopia_japonica	9	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	40.9	NA	NA	NA	0.7	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Fallopia_japonica	9	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.72	3	NA	NA	afdm	NA	NA	43.9	NA	NA	NA	0.8	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Fallopia_japonica	9	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.47	3	NA	NA	afdm	NA	NA	54.9	NA	NA	NA	1	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Gaultheria_shallon	10	0	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	NA	afdm	NA	NA	31.7	NA	NA	NA	1.6	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Gaultheria_shallon	10	21	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.09	3	NA	NA	afdm	NA	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
Kuglerova	Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as negative vegetation?	2017	Ecosphere	10.1002/ecs2.1779	stream	1.17	NA	NA	litter_bag	10	outdoor_mesocosm	NA	forested	NA	leaves	senesced	Gaultheria_shallon	10	53	20October2015	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.6	3	NA	NA	afdm	NA	NA	48.2	NA	NA	NA	1.6	NA	NA	NA	NA	NA	dm	"Mayfly Creek, Malcom Knapp Research Forest, British Columbia, Canada"	192	49.266667_-122.566667	5	n	y	n	n	NA	NA	ea	NA	
