First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	leaves	NA	Phragmites_australis	1	0	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	100	10	NA	NA	dm	NA	NA	NA	NA	NA	41.972	1.068	0.089	45.83047656	1216.151793	26.57142857	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	"Study did not note whether macrophytes were living or dead when collected for decomposition. Only that the plants were standing ""intact"". Measured decomposition of different tissues from various macrophytes. Reported ratios appeared to be mass (based on %C/%N calculations) so converted to molar but left ratio type as NA because not stated in paper. Coordinates appear to be for the correct region but does not match the lake shown in Fig. 1. Plant P (and water TP) analysed via ICP with no comment on digestion"
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	leaves	NA	Phragmites_australis	1	6	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	69.87	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.956	0.088	NA	NA	24.05519481	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	leaves	NA	Phragmites_australis	1	26	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	37.22	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.945	0.056	NA	NA	37.36607143	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	leaves	NA	Phragmites_australis	1	60	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	34.9	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.822	0.066	NA	NA	27.57792208	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	leaves	NA	Phragmites_australis	1	104	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	29.71	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.986	0.066	NA	NA	33.08008658	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	leaves	NA	Phragmites_australis	1	140	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	25.56	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.25	0.076	NA	NA	36.41917293	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	stems	NA	Phragmites_australis	2	0	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	100	10	NA	NA	dm	NA	NA	NA	NA	NA	37.757	0.733	0.137	60.07025381	710.7142771	11.8472367	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	stems	NA	Phragmites_australis	2	6	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	74.3	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.679	0.066	NA	NA	22.78030303	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	stems	NA	Phragmites_australis	2	26	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	59.13	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.734	0.067	NA	NA	24.25799574	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
Lan	"Litter decomposition of six macrophytes in a eutrophic shallow lake (Baiyangdian Lake, China)"	2012	"Clean - Soil, Air, Water"	10.1002/clen.201200056	lake	NA	NA	NA	litter_bag	0.5	field	NA	NA	NA	stems	NA	Phragmites_australis	2	60	01August2009	19.4	8.13	NA	NA	NA	220	540	1920	NA	2310	50.77	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.941	0.08	NA	NA	26.04553571	NA	dm	"Baiyangdian Lake, Wangjiazhaicun, China"	10	38.914138_116.005767	3	n	n	n	y	molar	ea	ea	icp	
