First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_method	N_method	P_method	Notes
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	0	1January2014	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	8	NA	0.00176	dm	NA	NA	17.76006643	NA	NA	53.93264602	0.861182573	NA	73.05528221	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	I determined that C/N ratios were reported as mass ratio. base on%C remaining that is reported in Liu et al. 2017 Chin Geogr. Sci. 
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	60	1January2014	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.26086957	8	NA	0.00176	dm	NA	NA	12.14285212	NA	NA	50.06786263	0.660895787	NA	88.37332526	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	120	1January2014	3.56501663	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	8	NA	0.00176	dm	NA	NA	17.09645269	NA	NA	42.91995276	0.858399055	NA	58.32639467	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	180	1January2014	10.09735542	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.86956522	8	NA	0.00176	dm	NA	NA	16.00319643	NA	NA	41.98780006	0.857070558	NA	57.14808367	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	240	1January2014	14.38987374	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.69565217	8	NA	0.00176	dm	NA	NA	16.87392564	NA	NA	44.9295366	1.170532664	NA	44.77581813	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	300	1January2014	10.61819884	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.91304348	8	NA	0.00176	dm	NA	NA	20.08873107	NA	NA	42.65719274	1.384610518	NA	35.93848561	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	360	1January2014	2.096774194	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.34782609	8	NA	0.00176	dm	NA	NA	22.0462608	NA	NA	43.29163168	1.648412129	NA	30.63608609	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	420	1January2014	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.08695652	8	NA	0.00176	dm	NA	NA	25.89652361	NA	NA	38.15404051	1.481274514	NA	30.04693059	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	480	1January2014	2.975879105	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.91304348	8	NA	0.00176	dm	NA	NA	27.80513807	NA	NA	37.03510581	1.496520602	NA	28.86861958	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
Liu	Long-term response of leaf litter decomposition to temperature. litter quality and litter mixing in plateau wetlands	2016	Freshwater Biology	10.1111/fwb.12860	wetland	0	0	NA	litter_bag	1.5	outdoor_mesocosm	NA	NA	NA	leaves	green	Scirpus_tabernaemontani	1	540	1January2014	9.329490781	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.7826087	8	NA	0.00176	dm	NA	NA	25.16999277	NA	NA	36.10790542	1.743747628	NA	24.15537557	NA	NA	NA	dm	Yunnan Plateau China	3260	27.8666667_99.68333333333334	3	n	n	n	n	molar	ea	ea	NA	
