First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_Method	N_Method	P_Method	Ratio_Type	Notes
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	6.3	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	1	0	1December2010	7.1	NA	NA	NA	3	NA	NA	NA	17	NA	NA	NA	NA	0.0106	afdm	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	5 streams. Table 3 states all ratio data collected on day 70 but text refers to day 63 for some time series
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	6.3	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	1	70	1December2010	7.1	NA	NA	NA	3	NA	NA	NA	17	NA	NA	NA	NA	0.0106	afdm	NA	NA	NA	NA	NA	NA	NA	NA	55	2746	49.92727273	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	6.3	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	2	0	1December2010	7.1	NA	NA	NA	3	NA	NA	NA	17	NA	NA	NA	NA	0.0019	afdm	NA	NA	NA	NA	NA	NA	NA	NA	145	7552	52.08275862	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	6.3	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	2	70	1December2010	7.1	NA	NA	NA	3	NA	NA	NA	17	NA	NA	NA	NA	0.0019	afdm	NA	NA	NA	NA	NA	NA	NA	NA	112	6223	55.5625	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	18.7	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	3	0	1December2010	6.4	NA	NA	NA	3	NA	NA	NA	78	NA	NA	NA	NA	0.0074	afdm	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	18.7	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	3	70	1December2010	6.4	NA	NA	NA	3	NA	NA	NA	78	NA	NA	NA	NA	0.0074	afdm	NA	NA	NA	NA	NA	NA	NA	NA	52	2331	44.82692308	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	18.7	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	4	0	1December2010	6.4	NA	NA	NA	3	NA	NA	NA	78	NA	NA	NA	NA	0.0035	afdm	NA	NA	NA	NA	NA	NA	NA	NA	145	7552	52.08275862	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	18.7	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	4	70	1December2010	6.4	NA	NA	NA	3	NA	NA	NA	78	NA	NA	NA	NA	0.0035	afdm	NA	NA	NA	NA	NA	NA	NA	NA	113	5026	44.47787611	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	21.9	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	5	0	1December2010	7.7	NA	NA	NA	3	NA	NA	NA	173	NA	NA	NA	NA	0.0133	afdm	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	21.9	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	5	70	1December2010	7.7	NA	NA	NA	3	NA	NA	NA	173	NA	NA	NA	NA	0.0133	afdm	NA	NA	NA	NA	NA	NA	NA	NA	47	2254	47.95744681	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	21.9	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	6	0	1December2010	7.7	NA	NA	NA	3	NA	NA	NA	173	NA	NA	NA	NA	0.0047	afdm	NA	NA	NA	NA	NA	NA	NA	NA	145	7552	52.08275862	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	21.9	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	6	70	1December2010	7.7	NA	NA	NA	3	NA	NA	NA	173	NA	NA	NA	NA	0.0047	afdm	NA	NA	NA	NA	NA	NA	NA	NA	73	5827	79.82191781	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	9.6	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	7	0	1December2010	6.7	NA	NA	NA	4	NA	NA	NA	49	NA	NA	NA	NA	0.0096	afdm	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	9.6	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	7	70	1December2010	6.7	NA	NA	NA	4	NA	NA	NA	49	NA	NA	NA	NA	0.0096	afdm	NA	NA	NA	NA	NA	NA	NA	NA	51	2124	41.64705882	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	9.6	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	8	0	1December2010	6.7	NA	NA	NA	4	NA	NA	NA	49	NA	NA	NA	NA	0.002	afdm	NA	NA	NA	NA	NA	NA	NA	NA	145	7552	52.08275862	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	9.6	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	8	70	1December2010	6.7	NA	NA	NA	4	NA	NA	NA	49	NA	NA	NA	NA	0.002	afdm	NA	NA	NA	NA	NA	NA	NA	NA	103	5023	48.76699029	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	12	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	9	0	1December2010	7.1	NA	NA	NA	4	NA	NA	NA	238	NA	NA	NA	NA	0.0152	afdm	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	12	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Acer rubrum	9	70	1December2010	7.1	NA	NA	NA	4	NA	NA	NA	238	NA	NA	NA	NA	0.0152	afdm	NA	NA	NA	NA	NA	NA	NA	NA	51	2107	41.31372549	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	12	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	10	0	1December2010	7.1	NA	NA	NA	4	NA	NA	NA	238	NA	NA	NA	NA	0.0039	afdm	NA	NA	NA	NA	NA	NA	NA	NA	145	7552	52.08275862	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	12	NA	NA	litter_bag	5	field	NA	forest	NA	leaves	senesced	Rhododendron maximum	10	70	1December2010	7.1	NA	NA	NA	4	NA	NA	NA	238	NA	NA	NA	NA	0.0039	afdm	NA	NA	NA	NA	NA	NA	NA	NA	101	4430	43.86138614	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	9.8	NA	NA	litter_bag	5	field	Whole-stream nutrient additions	forest	NA	leaves	senesced	Acer rubrum	11	0	27November2011	7	NA	NA	NA	7.9	NA	NA	NA	366.9	NA	NA	NA	NA	0.0135	afdm	NA	NA	NA	NA	NA	NA	NA	NA	78	2645	33.91025641	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	9.8	NA	NA	litter_bag	5	field	Whole-stream nutrient additions	forest	NA	leaves	senesced	Acer rubrum	11	63	27November2011	7	NA	NA	NA	7.9	NA	NA	NA	366.9	NA	NA	NA	NA	0.0135	afdm	NA	NA	NA	NA	NA	NA	NA	NA	44	1234	28.04545455	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	9.8	NA	NA	litter_bag	5	field	Whole-stream nutrient additions	forest	NA	leaves	senesced	Rhododendron maximum	12	0	27November2011	7	NA	NA	NA	7.9	NA	NA	NA	366.9	NA	NA	NA	NA	0.0109	afdm	NA	NA	NA	NA	NA	NA	NA	NA	145	7552	52.08275862	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
Manning	Detrital stoichiometry as a critical nexus for the effects of streamwater nutrients on leaf litter breakdown rates	2015	Ecology	10.1890/14-1582.1	stream	9.8	NA	NA	litter_bag	5	field	Whole-stream nutrient additions	forest	NA	leaves	senesced	Rhododendron maximum	12	63	27November2011	7	NA	NA	NA	7.9	NA	NA	NA	366.9	NA	NA	NA	NA	0.0109	afdm	NA	NA	NA	NA	NA	NA	NA	NA	69	2875	41.66666667	NA	NA	"Coweeta, Dryman Fork catchment"	1200	35.032275_-83.443154	4	n	y	n	n	ea	ea	acid_extraction	molar	
