First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_Per_Remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_phenolics	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	0	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	100	15	NA	NA	dm	NA	4.31	10.16	NA	NA	42.74	1.29	0.15	38.64914897	734.7531502	19.01084939	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	"All water parameters provided as ranges (I reported mean values); all elements digested with nitric: perchloric acids (2:1) then analyzed on an ICP-AES.  "
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	5	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	73.44371378	15	NA	NA	dm	NA	1.076942601	22.11182644	NA	NA	44.1358885	1.321192053	0.143052392	38.9691604	795.6003184	20.41615242	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	10	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	63.87187531	15	NA	NA	dm	NA	0.883281135	25.62920247	NA	NA	46.27138986	1.699779249	0.107517084	31.75522172	1109.770725	34.94766104	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	14	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	59.77961125	15	NA	NA	dm	NA	0.901359078	24.27084306	NA	NA	45.4084398	1.784768212	0.08428246	29.6790425	1389.304922	46.81097517	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	20	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	51.85566435	15	NA	NA	dm	NA	1.078259537	26.42869233	NA	NA	46.82810685	1.630242826	0.087015945	33.5080713	1387.733128	41.41489123	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	30	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	52.44113477	15	NA	NA	dm	NA	0.761476501	27.34126938	NA	NA	47.09988386	2.201986755	0.101594533	24.95170699	1195.494812	47.91234573	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	42	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	45.63319899	15	NA	NA	dm	NA	0.833165723	30.86287705	NA	NA	48.08207511	2.317880795	0.118906606	24.19843243	1042.738521	43.09115991	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	57	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	41.30580893	15	NA	NA	dm	NA	0.622671417	34.72622689	NA	NA	47.77584204	2.843267108	0.14715262	19.60134249	837.2179873	42.71227788	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	72	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	36.97841887	15	NA	NA	dm	NA	0.553424513	33.14723805	NA	NA	45.04026326	2.619205298	0.145330296	20.05979579	799.1769691	39.83973602	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
Marano	Comparative analysis of leaf-litter decomposition from the native Pouteria salicifolia and the exotic invasive Ligustrum lucidum in a lowland stream (Buenos Aires. Argentina)	2013	Fundamental and Applied Limnology	10.1127/1863-9135/2013/0500	stream	NA	0.035	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ligustrum_lucidum	1	92	NA	15.42	7.505	NA	36.165	370	NA	335	332	722	NA	32.11244962	15	NA	NA	dm	NA	0.607945675	27.37541441	NA	NA	45.30003871	3.39183223	0.145785877	15.57970889	801.2744918	51.43064595	NA	dm	Selva Marginal Punta Lara	NA	-34.7913565789331_-57.9973943048482	3	n	n	n	n	molar	acid digestion_ICP_AES	acid digestion_ICP_AES	acid digestion_ICP_AES	
