First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_Per_Remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_phenolics	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	0.5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	1	0	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	100	3	NA	0.523723724	afdm_postleach	NA	NA	NA	NA	NA	48.31	2.61	0.098	21.59193967	1271.186171	58.87318096	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	k are linear.corrected a likely mistake in Fig 2 (color of sites inverted for oak)
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	0.5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	1	6	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	96.82	3	NA	0.523723724	afdm_postleach	NA	NA	NA	NA	NA	NA	3.33	0.077	NA	NA	95.59971078	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	0.5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	1	20	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	89.4	3	NA	0.523723724	afdm_postleach	NA	NA	NA	NA	NA	NA	3.45	0.074	NA	NA	103.0600729	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	0.5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	1	61	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	67.67	3	NA	0.523723724	afdm_postleach	NA	NA	NA	NA	NA	NA	3.85	0.074	NA	NA	115.0090669	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	2	0	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	100	5	NA	0.855255255	afdm_postleach	NA	NA	NA	NA	NA	48.31	2.61	0.098	21.59193967	1271.186171	58.87318096	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	2	6	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	94.84	5	NA	0.855255255	afdm_postleach	NA	NA	NA	NA	NA	NA	3.28	0.083	NA	NA	87.35722333	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	2	20	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	82.8	5	NA	0.855255255	afdm_postleach	NA	NA	NA	NA	NA	NA	3.64	0.069	NA	NA	116.6152541	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	2	36	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	69.04	5	NA	0.855255255	afdm_postleach	NA	NA	NA	NA	NA	NA	3.68	0.077	NA	NA	105.6477284	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	5	field	NA	forest	NA	leaves	senesced	Alnus_glutinosa	2	50	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	57	5	NA	0.855255255	afdm_postleach	NA	NA	NA	NA	NA	NA	3.58	0.061	NA	NA	129.7347328	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
Martinez	In-stream litter decomposition along an altitudinal gradient : does substrate quality matter?	2016	Hydrobiologia	10.1007/s10750-015-2432-9	stream	28.3	NA	riffle	litter_bag	0.5	field	NA	forest	NA	leaves	senesced	Quercus_robur	3	0	21November2011	4.3	7.47	38.5	NA	13.2	NA	47.4	34.3	83.7	NA	100	3	NA	0.24984985	afdm_postleach	NA	NA	NA	NA	NA	48.52	1.32	0.036	42.87873742	3475.49357	81.05400904	NA	dm	Cordillera Cantabrica. N Spain	920	43.1472222_ -3.393333333333333	4	y	y	y	n	molar	ea	ea	acid_digest	
