First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	1032.430528	0.580780163	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Acer_rubrum_var_trilobum	1	0	4February2006	7.12	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	100	8.856000801	0.949851199	NA	afdm	NA	NA	14.98203507	20.08	10.52	50.04333333	0.965121578	0.038416114	60.48662212	3359.162389	11.3648976	NA	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	Values for lignin in Table 2 of the paper are incorrect!
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	257.116544	0.162304381	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Acer_rubrum_var_trilobum	1	6	4February2006	9.516190476	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	83.84754325	8.856000801	0.915313567	NA	afdm	NA	NA	19.78464794	20.74514787	10.59903135	50.91666667	0.998617363	0.036538327	59.47794833	3593.432592	12.36366938	115.1843518	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	"review1: excluded all data points after drying (from day 173, asked Andrew to be sure) and data points where no CNP are available"
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	141.867168	0.09407861	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Acer_rubrum_var_trilobum	1	36	4February2006	21.94133333	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	72.35307873	8.856000801	0.870677438	NA	afdm	NA	NA	36.37318138	16.47568767	11.50091268	50.78	1.189492769	0.037045268	49.79961877	3534.745515	14.52532953	138.9919447	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	32.847488	0.02459145	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Acer_rubrum_var_trilobum	1	62	4February2006	18.82142857	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	63.55343822	8.856000801	0.816803835	NA	afdm	NA	NA	27.14675197	17.26929968	9.707329253	51.7	1.39336153	0.041127707	43.28344855	3241.56134	15.32590922	184.7937592	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	1032.430528	0.580780163	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Nyssa_ogeche	2	0	4February2006	7.12	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	100	8.883719677	0.946386884	NA	afdm	NA	NA	9.656022551	19.07261719	13.04555039	48.67333333	1.041234311	0.038157582	54.53028239	3289.337567	12.34424572	NA	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	257.116544	0.162304381	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Nyssa_ogeche	2	6	4February2006	9.516190476	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	75.83674803	8.883719677	0.887987948	NA	afdm	NA	NA	18.61825305	24.41281238	13.80460958	49.04333333	1.234336247	0.038591755	46.34913417	3277.054375	14.46891221	116.0230827	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	141.867168	0.09407861	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Nyssa_ogeche	2	36	4February2006	21.94133333	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	54.65383615	8.883719677	0.835391012	NA	afdm	NA	NA	36.48104373	22.09924495	17.09933693	50.61	1.87311213	0.048399838	31.5186559	2696.439193	17.50720439	430.6865159	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	32.847488	0.02459145	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Nyssa_ogeche	2	62	4February2006	18.82142857	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	44.09362438	8.883719677	0.821222017	NA	afdm	NA	NA	29.63566314	23.73444243	11.22063059	51.56333333	1.679427747	0.047958213	35.8158109	2772.529593	15.84146207	282.8070901	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	1032.430528	0.580780163	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Quercus_nigra	3	0	4February2006	7.12	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	100	8.883719677	0.96301856	NA	afdm	NA	NA	15.2338473	22.75735882	12.72843968	50.57	0.834973077	0.021239556	70.65056008	6139.679655	17.78377531	NA	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	
Mehring	Leaf litter nutrient uptake in an intermittent blackwater river: influence of tree species and associated biotic and abiotic drivers	2015	Functional Ecology	10.1111/1365-2435.12399	stream	257.116544	0.162304381	slow	litter_bag	5	field	NA	forested	NA	leaves	senesced	Quercus_nigra	3	6	4February2006	9.516190476	6.82	60.4	10.76	7.21	28.92	9.29	26.88	NA	562.38	91.98383178	8.972119374	0.964043034	NA	afdm	NA	NA	17.50499774	23.79286901	11.95996308	50.29666667	0.829256028	0.018003809	70.75313607	7203.988283	20.83632694	50.43089496	afdm	"Little River, Hwy 32 E & Pate Road, Georgia"	107	31.692695_-83.702681	5	n	n	y	y	ea	ea	colorimetry	molar	
