First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Alnus_rugosa	1	1	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	100	20	NA	NA	afdm	NA	NA	13.1	NA	NA	NA	0.315	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	study included 3 additional sample sites but data not extractable from paper
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Alnus_rugosa	1	91	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	61.10638563	20	NA	NA	afdm	NA	NA	NA	NA	NA	NA	1.500537139	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	"review1: added _ between genus and species; %N were given as % of initial. Re-calculated it, please check carefully"
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Alnus_rugosa	1	183	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	34.02033391	20	NA	NA	afdm	NA	NA	NA	NA	NA	NA	1.561914315	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Alnus_rugosa	1	486	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	20.34370811	20	NA	NA	afdm	NA	NA	NA	NA	NA	NA	2.032635468	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Betula_papyrifera	2	1	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	100	20	NA	NA	afdm	NA	NA	8.2	NA	NA	NA	0.144	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Betula_papyrifera	2	91	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	57.47174227	20	NA	NA	afdm	NA	NA	NA	NA	NA	NA	1.127139085	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Betula_papyrifera	2	183	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	35.05072192	20	NA	NA	afdm	NA	NA	NA	NA	NA	NA	2.02517084	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Betula_papyrifera	2	486	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	27.1292415	20	NA	NA	afdm	NA	NA	NA	NA	NA	NA	2.119077943	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Populus_tremuloides	3	1	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	100	20	NA	NA	afdm	NA	NA	12	NA	NA	NA	0.08	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	
Melillo	The influence of substrate quality and stream size on wood decomposition dynamics	1983	Oecologia	10.1007/BF00385224	stream	13	NA	NA	litter_bag	2	field	NA	forested	NA	wood_veneer	manufactured	Populus_tremuloides	3	91	NA	4.7	NA	NA	NA	5	NA	67	NA	NA	NA	67.58334203	20	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.921911828	NA	NA	NA	NA	NA	dm	First Choice Creek  Quebec  Canada	NA	NA	5	n	n	n	n	NA	kjeldahl	NA	NA	
