First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_Per_Remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_phenolics	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	leaves	green	Phragmites_australis	1	0	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	100	3	NA	0.0038	afdm	NA	NA	NA	NA	NA	NA	3.43	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	CaCO3 precipitation. temperature provided as a range
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	leaves	green	Phragmites_australis	1	3	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	88.94	3	NA	0.0038	afdm	NA	NA	NA	NA	NA	NA	3.03	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	leaves	green	Phragmites_australis	1	15	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	85.02	3	NA	0.0038	afdm	NA	NA	NA	NA	NA	NA	2.51	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	leaves	green	Phragmites_australis	1	30	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	79.6	3	NA	0.0038	afdm	NA	NA	NA	NA	NA	NA	2.48	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	leaves	green	Phragmites_australis	2	0	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	100	3	NA	0.0046	afdm	NA	NA	NA	NA	NA	NA	3.43	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	leaves	green	Phragmites_australis	2	3	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	89.16	3	NA	0.0046	afdm	NA	NA	NA	NA	NA	NA	3.24	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	leaves	green	Phragmites_australis	2	15	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	91.48	3	NA	0.0046	afdm	NA	NA	NA	NA	NA	NA	2.47	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	leaves	green	Phragmites_australis	2	30	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	82.21	3	NA	0.0046	afdm	NA	NA	NA	NA	NA	NA	2.32	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	leaves	senesced	Populus_nigra	3	0	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	100	3	NA	0.0104	afdm	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	leaves	senesced	Populus_nigra	3	3	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	56.56	3	NA	0.0104	afdm	NA	NA	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	leaves	senesced	Populus_nigra	3	15	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	48.66	3	NA	0.0104	afdm	NA	NA	NA	NA	NA	NA	1.38	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	leaves	senesced	Populus_nigra	3	30	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	46.51	3	NA	0.0104	afdm	NA	NA	NA	NA	NA	NA	1.22	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	leaves	senesced	Populus_nigra	4	0	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	100	3	NA	0.0057	afdm	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	leaves	senesced	Populus_nigra	4	3	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	57.37	3	NA	0.0057	afdm	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	leaves	senesced	Populus_nigra	4	15	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	57.19	3	NA	0.0057	afdm	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	leaves	senesced	Populus_nigra	4	30	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	66.47	3	NA	0.0057	afdm	NA	NA	NA	NA	NA	NA	1.12	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	5	0	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	100	3	NA	0.0024	afdm	NA	NA	NA	NA	NA	NA	2.03	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	5	3	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	80.22	3	NA	0.0024	afdm	NA	NA	NA	NA	NA	NA	2.22	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	5	15	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	72.81	3	NA	0.0024	afdm	NA	NA	NA	NA	NA	NA	2.56	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	5	30	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	71.97	3	NA	0.0024	afdm	NA	NA	NA	NA	NA	NA	1.71	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	0.1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	5	120	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	67.4	3	NA	0.0024	afdm	NA	NA	NA	NA	NA	NA	1.69	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	6	0	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	100	3	NA	0.0023	afdm	NA	NA	NA	NA	NA	NA	2.03	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	6	3	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	71.4	3	NA	0.0023	afdm	NA	NA	NA	NA	NA	NA	2.34	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	6	15	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	87.56	3	NA	0.0023	afdm	NA	NA	NA	NA	NA	NA	1.86	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
Menendez	Comparison of Leaf Decomposition in Two Mediterranean Rivers: a Large Eutrophic River and an Oligotrophic Stream (S Catalonia. NE Spain)	2001	International Review of Hydrobiology	"10.1002/1522-2632(200107)86:4/5<475::AID-IROH475>3.0.CO;2-5"	stream	NA	NA	NA	litter_bag	1	field	NA	forested	NA	macrophyte	green	Potamogeton_coloratus	6	30	19-nov-99	11.85	7.9	551	NA	20.13	NA	147.07	NA	NA	NA	71.81	3	NA	0.0023	afdm	NA	NA	NA	NA	NA	NA	1.95	NA	NA	NA	NA	NA	dm	Senia stream.Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	NA	
