First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_Per_Remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_phenolics	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	0.1	field	NA	NA	NA	leaves	senesced	Populus_alba	1	0	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	100	3	NA	0.009	afdm	NA	NA	NA	NA	NA	NA	1.651162791	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	Paper does not give digest method for P, and P not reported, but reports that C,N,P were all analyzed on EA
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	0.1	field	NA	NA	NA	leaves	senesced	Populus_alba	1	3	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	73.68421053	3	NA	0.009	afdm	NA	NA	NA	NA	NA	NA	2.465116279	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	0.1	field	NA	NA	NA	leaves	senesced	Populus_alba	1	15	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	70	3	NA	0.009	afdm	NA	NA	NA	NA	NA	NA	1.604651163	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	0.1	field	NA	NA	NA	leaves	senesced	Populus_alba	1	30	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	61.05263158	3	NA	0.009	afdm	NA	NA	NA	NA	NA	NA	2.023255814	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	0.1	field	NA	NA	NA	leaves	senesced	Populus_alba	1	90	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	42.63157895	3	NA	0.009	afdm	NA	NA	NA	NA	NA	NA	3.069767442	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Populus_alba	2	0	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	100	3	NA	0.008	afdm	NA	NA	NA	NA	NA	NA	1.651162791	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Populus_alba	2	3	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	72.63157895	3	NA	0.008	afdm	NA	NA	NA	NA	NA	NA	2.162790698	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Populus_alba	2	15	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	69.47368421	3	NA	0.008	afdm	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Populus_alba	2	30	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	59.47368421	3	NA	0.008	afdm	NA	NA	NA	NA	NA	NA	2.255813953	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
Menendez	Seasonal comparisons of leaf processing rates in two Mediterranean rivers with different nutrient availability	2003	Hydrobiologia	10.1023/A:1025462708460	stream	NA	NA	NA	litter_bag	5	field	NA	NA	NA	leaves	senesced	Populus_alba	2	90	19-nov-99	9.8	8	554	NA	18.6	NA	147.07	NA	NA	NA	46.31578947	3	NA	0.008	afdm	NA	NA	NA	NA	NA	NA	2.674418605	NA	NA	NA	NA	NA	dm	Senia stream. Catalonia. Spain	386	NA	3	n	y	y	n	NA	ea	ea	ea	
