First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	0	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.035	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	8 time series total - 5 mixed species litter bag sets from figures 1&2 varied by flow category and/or mesh size PLUS 3 single species decomposition time series from figure 5
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	7	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.07700869	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.025020013	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	"Paper mentions inverts were quantified, but the data is not available here. May be extractable from dissertation?"
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	14	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.029125888	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	Initial weight of single species leaf packs is not stated
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	28	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.38060901	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.031212395	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	"Second and third order stream sites were combined for analysis within the pools, riffles, and debris dams time series."
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	56	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.49700125	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.042858619	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	133	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.87993849	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.035080697	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	166	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.19151798	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.043333764	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	226	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.68551558	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.064384765	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	280	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.75570003	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.058135571	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	
Meyer	Dynamics of phosphorus and organic matter during leaf decomposition in a forest stream	1980	Oikos	10.2307/3544548	stream	NA	NA	pool	litter_bag	1	field	NA	forested	NA	leaves	senesced	Acer_saccharumxBetula_alleghaniensisxFagus_grandifolia	1	317	15October1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.375935444	9	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	0.0989051	NA	NA	NA	NA	afdm	"Bear Brook, Hubbard Brook Experimental Forest, New Hampshire"	NA	NA	1-4	n	y	n	n	NA	NA	"ash, HCl, Fiske-Subbarow method"	NA	
