First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	1	0	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	25	NA	0.001924628	dm	NA	NA	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	only used treatments 5 and 6 because they were continually flooded (Fig 1). Only used aboveground treatments. Assumed that standing litter was senescent. Range of water temps was reported averaged across all treatments.
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	1	2	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.3	25	NA	0.001924628	dm	NA	NA	NA	NA	NA	NA	0.72	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	"review1: corrected minor issies (typo in the title, incremetn on initial mass)"
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	1	40	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.1	25	NA	0.001924628	dm	NA	NA	NA	NA	NA	NA	0.7	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	1	80	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.8	25	NA	0.001924628	dm	NA	NA	NA	NA	NA	NA	1.03	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	1	103	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.1	25	NA	0.001924628	dm	NA	NA	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	1	336	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	25	NA	0.001924628	dm	NA	NA	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	1	427	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.6	25	NA	0.001924628	dm	NA	NA	NA	NA	NA	NA	1.52	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	1	460	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.5	25	NA	0.001924628	dm	NA	NA	NA	NA	NA	NA	1.66	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	2	0	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	25	NA	0.002045442	dm	NA	NA	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	
Neckles	Hydrologic control of litter decomposition in seasonally flooded prarie marshes	1994	Hydrobiologia	10.1007/BF00006247	marsh	NA	NA	NA	litter_bag	1	field	flooding	NA	NA	stems_leaves	scenesced	Scolochloa_festucacea	2	2	20May1981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.5	25	NA	0.002045442	dm	NA	NA	NA	NA	NA	NA	0.6	NA	NA	NA	NA	NA	dm	Delta Marsh; Delta; Manitoba; Canada	NA	50.183333_-98.316667	3	n	n	n	n	NA	NA	kjeldahl	NA	
