First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	NA	NA	NA	leaf	senesced	Cladium_jamaicense	1	0	16March1996	NA	NA	NA	20	4	8	5	51	NA	NA	100	5	NA	0.000289257	NA	NA	NA	NA	NA	NA	NA	0.455	0.0128	NA	NA	78.57863803	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1986	molar	"No indication of if dried litter or not, though most likely dry mass"
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	NA	NA	NA	leaf	senesced	Cladium_jamaicense	1	169	16March1996	NA	NA	NA	20	4	8	5	51	NA	NA	91.5	5	NA	0.000289257	NA	NA	NA	NA	NA	NA	NA	0.457	0.0059	NA	NA	171.225033	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1987	molar	Phosphorus (as orthophosphate) was added at different rates to the mesocosms within the wetland weekly
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	NA	NA	NA	leaf	senesced	Cladium_jamaicense	1	625	16March1996	NA	NA	NA	20	4	8	5	51	NA	NA	79.7	5	NA	0.000289257	NA	NA	NA	NA	NA	NA	NA	0.647	0.0051	NA	NA	280.4382024	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1988	molar	"Three bags in each of triplicate mesocosms for P treatment, assuming one of those bags taken at each sampling point"
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	phosphorus addition 0.2 gP/m2/yr	NA	NA	leaf	senesced	Cladium_jamaicense	2	0	16March1996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	0.000282452	NA	NA	NA	NA	NA	NA	NA	0.455	0.0128	NA	NA	78.57863803	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1990	molar	
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	phosphorus addition 0.2 gP/m2/yr	NA	NA	leaf	senesced	Cladium_jamaicense	2	169	16March1996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.7	5	NA	0.000282452	NA	NA	NA	NA	NA	NA	NA	0.482	NA	NA	NA	NA	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1991	molar	
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	phosphorus addition 0.2 gP/m2/yr	NA	NA	leaf	senesced	Cladium_jamaicense	2	625	16March1996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.3	5	NA	0.000282452	NA	NA	NA	NA	NA	NA	NA	0.677	0.0072	NA	NA	207.8544095	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1992	molar	
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	phosphorus addition 1.6 gP/m2/yr	NA	NA	leaf	senesced	Cladium_jamaicense	3	0	16March1996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	0.000299702	NA	NA	NA	NA	NA	NA	NA	0.455	0.0128	NA	NA	78.57863803	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1994	molar	
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	phosphorus addition 1.6 gP/m2/yr	NA	NA	leaf	senesced	Cladium_jamaicense	3	169	16March1996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.2	5	NA	0.000299702	NA	NA	NA	NA	NA	NA	NA	0.509	0.007	NA	NA	160.7395738	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1995	molar	
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	phosphorus addition 1.6 gP/m2/yr	NA	NA	leaf	senesced	Cladium_jamaicense	3	625	16March1996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.1	5	NA	0.000299702	NA	NA	NA	NA	NA	NA	NA	0.802	0.0087	NA	NA	203.7784177	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1996	molar	
Newman	Decomposition responses to phosphorus enrichment in an Everglades (USA) slough	2001	Biogeochemistry	10.1023/A:1010659016876	wetland	NA	NA	NA	litter_bag	1.6	outdoor_mesocosm	phosphorus addition 3.2 gP/m2/yr	NA	NA	leaf	senesced	Cladium_jamaicense	4	0	16March1996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	0.000405767	NA	NA	NA	NA	NA	NA	NA	0.457	0.0128	NA	NA	78.92403863	NA	dm	"Everglades Water Conservation Area 1, Florida"	NA	NA	3	NA	NA	NA	NA	NA	ea	acid digestion epa1998	molar	
