First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	NA	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	0	23December2013	4.784565916	NA	NA	NA	NA		NA	NA	NA	NA	100	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	34.8	2.64	0.17	15.3769586	527.8718715	34.33	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4619	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	NO3 and NH4 reported as mg/L; multiplied by 1000 to get ug/L - water chemistry; temp data and initial litter chemistry data available in supplmentary material. Unclear if reported C:N C:P N:P ratios were mass or molar; so calculated in spreadsheet. Looks like 16S and 18S RNA analysis was completed not clear where these data are presented? A lot of data buried in SEMs - initial Acid unhydrolyzable residue reported in supplmental material. k rate reported per yr so divided by 365 to convert. Used reported k coefficients to calculate per_mass_remaining at each date.
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.55	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	40	23December2013	3.549839228	6.8	NA	NA	7.8		350	150	NA	NA	89.15981735	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.184615385	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4620	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	review1: added _ between genus and species; not clear to me if nitrate values are no3 or n-no3 (same for nh4 and po4)
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.29	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	107	23December2013	3.549839228	6.6	NA	NA	7.5		250	20	NA	NA	73.57030053	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.203550296	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4621	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.67	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	162	23December2013	3.446945338	6.8	NA	NA	8.4		340	130	NA	NA	62.83261561	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.222485207	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4622	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.72	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	264	23December2013	6.019292605	5.5	NA	NA	8.2		270	90	NA	NA	46.89391834	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.182248521	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4623	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.56	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	365	23December2013	4.270096463	6.8	NA	NA	7.8		340	140	NA	NA	35.09891387	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.170414201	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4624	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.52	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	399	23December2013	3.344051447	6.8	NA	NA	7.6		170	90	NA	NA	31.83739107	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.123076923	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4625	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.28	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	484	23December2013	3.344051447	6.6	NA	NA	7.4		270	50	NA	NA	24.94864472	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.118343195	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4626	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.62	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	528	23December2013	3.446945338	6.6	NA	NA	7.9		220	90	NA	NA	21.99039578	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.113609467	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4627	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.65	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	631	23December2013	5.813504823	6.6	NA	NA	8.1		280	90	NA	NA	16.36509983	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.099408284	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4628	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
Peng	Temporal dynamics of phosphorus during aquatic and terrestrial litter decomposition in an alpine forest	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.06.135	stream	NA	0.48	NA	litter_bag	0.5	field	NA	forested	NA	leaves	senesced	Salix_paraplesia	1	732	23December2013	5.196141479	6.6	NA	NA	7.9		380	190	NA	NA	12.24886402	10	NA	0.002868493	dm	NA	NA	NA	NA	NA	NA	NA	0.123076923	NA	NA	NA	NA	NA	"Miyaluo Nature Reserve, Li County, Sichuan Province, southwestern China"	2458-4629	31.233333_102.883333	3	n	n	y	n	NA	NA	NA	molar	
