First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_us.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	1	0	25October2003	9.71	6.85	90.2	NA	9.72	NA	842.3	26.2	871.35	NA	100	10	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Aguera River, Spain"	350	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	also reported % phenolics through time | extracted data with WebPlotDigitizer v4.2 | microbial data includes fungal hyphomycete community taxa richness shannon diversity and sporulation rate
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	1	6	25October2003	9.71	6.85	90.2	NA	9.72	NA	842.3	26.2	871.35	NA	85.18518519	10	NA	NA	afdm	NA	5.36863403	NA	NA	NA	50.4	4	0.099	14.69825146	1312.784801	89.31571244	NA	dm	"Aguera River, Spain"	350	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	review1: I suggest deleting transplanted bags; corrected date (excel increment); changed mesh size from coarse to exact value; added pH and conductivity column; added _ between genus and species; changed date formatting; added a t0 line to each time-serie; corrected SRP values (excel increment); deleted k values because mlinear k was reported : better reclaculate an exponential k from remaining mass data
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	1	14	25October2003	9.71	6.85	90.2	NA	9.72	NA	842.3	26.2	871.35	NA	76.2962963	10	NA	NA	afdm	NA	3.244410554	NA	NA	NA	50.07633588	4.220216606	0.084854772	13.84181146	1521.78911	109.9414707	NA	dm	"Aguera River, Spain"	350	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	1	31	25October2003	9.71	6.85	90.2	NA	9.72	NA	842.3	26.2	871.35	NA	56.66666667	10	NA	NA	afdm	NA	1.831406639	NA	NA	NA	48.64503817	4.187725632	0.072406639	13.55050423	1732.440619	127.8506386	NA	dm	"Aguera River, Spain"	350	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	1	37	25October2003	9.71	6.85	90.2	NA	9.72	NA	842.3	26.2	871.35	NA	54.81481481	10	NA	NA	afdm	NA	1.86695135	NA	NA	NA	46.25954198	4.003610108	0.065352697	13.47859672	1825.307385	135.4226574	NA	dm	"Aguera River, Spain"	350	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	1	49	25October2003	9.71	6.85	90.2	NA	9.72	NA	842.3	26.2	871.35	NA	45.18518519	10	NA	NA	afdm	NA	1.633999288	NA	NA	NA	44.25572519	3.987364621	0.067427386	12.94728293	1692.510364	130.7232084	NA	dm	"Aguera River, Spain"	350	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	1	70	25October2003	9.71	6.85	90.2	NA	9.72	NA	842.3	26.2	871.35	NA	23.33333333	10	NA	NA	afdm	NA	1.774795384	NA	NA	NA	47.5	4.019855596	0.065352697	13.78409588	1874.253334	135.9721632	NA	dm	"Aguera River, Spain"	350	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	1	103	25October2003	9.71	6.85	90.2	NA	9.72	NA	842.3	26.2	871.35	NA	9.259259259	10	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Aguera River, Spain"	350	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	2	0	25October2003	11.19	7.76	187.6	NA	7.88	NA	810.7	26.4	840.6	NA	100	10	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Aguera River, Spain"	80	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	
Perez	Effects of fungal inocula and habitat conditions on alder and eucalyptus leaf litter decomposition in streams of northern Spain	2014	Microbial Ecology	10.1007/s00248-013-0306-0	stream	NA	NA	NA	litter_bag	5	field	NA	forestry/agriculture	NA	leaves	senesced	Alnus_glutinosa	2	6	25October2003	11.19	7.76	187.6	NA	7.88	NA	810.7	26.4	840.6	NA	88.88888889	10	NA	NA	afdm	NA	6.752600275	NA	NA	NA	48.9	3.85	0.095	14.81641922	1327.34388	89.58600999	NA	dm	"Aguera River, Spain"	80	NA	4	NA	n	y	n	ea	ea	acid_digest	molar	
