First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	males only	NA	NA	carcass	fresh	Magicicada_cassini	1	0	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0.336	NA	0.037	dm	NA	NA	NA	NA	NA	52.26	10.12	0.69	5.080645161	165.4135338	32.90322581	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	"Initial %C, %N, %P provided in text, but the remaining time series is not extractable"
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	males only	NA	NA	carcass	fresh	Magicicada_cassini	1	5	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.303	0.336	NA	0.037	dm	NA	NA	NA	NA	NA	NA	NA	NA	4.758064516	263.1578947	48.06451613	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	"No Latitude/Longitude coordinates provided in paper, but they indicated that study areas were within 10km of Oxford, Ohio. Therefore the Lat/Lon reported here is the center of town."
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	males only	NA	NA	carcass	fresh	Magicicada_cassini	1	6	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.469	0.336	NA	0.037	dm	NA	NA	NA	NA	NA	NA	NA	NA	5.64516129	263.1578947	47.41935484	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	males only	NA	NA	carcass	fresh	Magicicada_cassini	1	8	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.161	0.336	NA	0.037	dm	NA	NA	NA	NA	NA	NA	NA	NA	9.35483871	240.6015038	39.03225806	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	males only	NA	NA	carcass	fresh	Magicicada_cassini	1	12	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.728	0.336	NA	0.037	dm	NA	NA	NA	NA	NA	NA	NA	NA	6.290322581	338.3458647	54.83870968	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	males only	NA	NA	carcass	fresh	Magicicada_cassini	1	18	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.136	0.336	NA	0.037	dm	NA	NA	NA	NA	NA	NA	NA	NA	7.258064516	864.6616541	120	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	males only	NA	NA	carcass	fresh	Magicicada_cassini	1	20	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.63	0.336	NA	0.037	dm	NA	NA	NA	NA	NA	NA	NA	NA	6.370967742	744.3609023	116.1290323	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	females only	NA	NA	carcass	fresh	Magicicada_cassini	2	0	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0.554	NA	0.051	dm	NA	NA	NA	NA	NA	50.83	11.78	0.77	5.967741935	165.4135338	29.35483871	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	females only	NA	NA	carcass	fresh	Magicicada_cassini	2	5	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.463	0.554	NA	0.051	dm	NA	NA	NA	NA	NA	NA	NA	NA	6.048387097	270.6766917	44.35483871	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	females only	NA	NA	carcass	fresh	Magicicada_cassini	2	6	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.778	0.554	NA	0.051	dm	NA	NA	NA	NA	NA	NA	NA	NA	7.096774194	375.9398496	53.5483871	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	females only	NA	NA	carcass	fresh	Magicicada_cassini	2	8	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.012	0.554	NA	0.051	dm	NA	NA	NA	NA	NA	NA	NA	NA	9.193548387	646.6165414	70.64516129	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	females only	NA	NA	carcass	fresh	Magicicada_cassini	2	12	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.741	0.554	NA	0.051	dm	NA	NA	NA	NA	NA	NA	NA	NA	10.48387097	631.5789474	60.48387097	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
Pray	Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicada) in woodland aquatic ecosystems	2009	Journal of the North American Benthological Society	10.1899/08-038.1	NA	NA	NA	NA	beaker	NA	lab	females only	NA	NA	carcass	fresh	Magicicada_cassini	2	18	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.802	0.554	NA	0.051	dm	NA	NA	NA	NA	NA	NA	NA	NA	9.596774194	879.6992481	94.51612903	NA	dm	Oxford  Ohio  USA	NA	39.507478_-84.749359	3	n	n	n	n	NA	NA	NA	molar	
