First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	6 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	1	0	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	0.003323706	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	%C calculated from %N and C:N ratios provided in Figure 1.
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	6 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	1	61	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.27059614	5	NA	0.003323706	dm	NA	NA	NA	NA	NA	36.87692371	0.829834254	NA	51.8392196	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	6 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	1	91	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.93928757	5	NA	0.003323706	dm	NA	NA	NA	NA	NA	56.96245574	0.992265193	NA	66.9662646	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	6 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	1	122	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.29306187	5	NA	0.003323706	dm	NA	NA	NA	NA	NA	39.2440997	0.849723757	NA	53.87555258	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	6 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	1	152	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.93934862	5	NA	0.003323706	dm	NA	NA	NA	NA	NA	47.9600722	1.08839779	NA	51.40286254	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	6 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	1	213	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.1160221	5	NA	0.003323706	dm	NA	NA	NA	NA	NA	56.80588584	1.350276243	NA	49.07562484	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	3 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	2	0	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	0.002871659	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	3 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	2	61	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.56371906	5	NA	0.002871659	dm	NA	NA	NA	NA	NA	45.51350905	0.932596685	NA	56.93005206	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	3 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	2	91	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.37575166	5	NA	0.002871659	dm	NA	NA	NA	NA	NA	45.55715683	0.879558011	NA	60.42090859	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
Pu	Contribution of ambient atmospheric exposure to Typha angustifolia litter decomposition in aquatic environment	2014	Ecological Engineering	10.1016/j.ecoleng.2014.03.095	wetland	NA	NA	NA	litter_bag	0.5	field	3 months litter pre-exposure to ambient atmospheric conditions	constructed_wetland	NA	leaves	senesced	Typha_angustifolia	2	122	June2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.54137542	5	NA	0.002871659	dm	NA	NA	NA	NA	NA	45.59658864	0.750276243	NA	70.89347821	NA	NA	NA	dm	Nanjing  China	NA	32.066667_118.866667	3	n	n	y	n	ea	ea	NA	molar	
