First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Juglans_nigra	1	0	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	100	1.732	NA	0.039	dm	NA	NA	NA	NA	NA	NA	NA	NA	27.38718249	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	"Toughness of the leaves and rates of leaf respiration and uptake also measured ; shade-cloth that reduce 90% of ambient light; Packs were constructed by attaching leaves to clay tiles by three, 2 mm wide, black (bare tiles an rubber bands included as controls); extraction of DM_rem from Figure 3 (not 4); data is providing for leaching but not clear if it was done for all the leaf packs; initial DM (1.732) corresponds to overall mean but differe among species according to leaf density; the sampling times are not consistent (and different for C:N and remaining_DM are different on what stated in the methods); units of C:N not stated in the text I assumed they are weight to weight and converted accordingly to molar"
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Juglans_nigra	1	7	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	104.9196787	1.732	NA	0.039	dm	NA	NA	NA	NA	NA	NA	NA	NA	30.2030328	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Juglans_nigra	1	15	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	104.4176707	1.732	NA	0.039	dm	NA	NA	NA	NA	NA	NA	NA	NA	31.07180694	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Juglans_nigra	1	28	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	NA	1.732	NA	0.039	dm	NA	NA	NA	NA	NA	NA	NA	NA	36.34577704	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Juglans_nigra	1	56	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	12.04819277	1.732	NA	0.039	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Juglans_nigra	1	126	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	2.008032129	1.732	NA	0.039	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Aristotelia_serrata	2	0	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	100	1.732	NA	0.0216	dm	NA	NA	NA	NA	NA	NA	NA	NA	63.23575633	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Aristotelia_serrata	2	7	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	91.36546185	1.732	NA	0.0216	dm	NA	NA	NA	NA	NA	NA	NA	NA	43.44757979	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Aristotelia_serrata	2	15	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	75.80321285	1.732	NA	0.0216	dm	NA	NA	NA	NA	NA	NA	NA	NA	21.00538341	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
Quinn	"Influences of leaf toughness and nitrogen content on in-stream processing and nutrient uptake by litter in a Waikato, New Zealand, pasture stream and streamside channels"	2000	New Zealand Journal of Marine and Freshwater Research	10.1080/00288330.2000.9516931	stream	16	0.15	NA	tied_to_tile	NA	outdoor_mesocosm	NA	pasture	shaded	leaves	senesced	Aristotelia_serrata	2	28	22May1995	14.5	7.2	NA	NA	13.3	NA	553.1	14.4	567.5	NA	86.34538153	1.732	NA	0.0216	dm	NA	NA	NA	NA	NA	NA	NA	NA	43.4089676	NA	NA	NA	NA	"AgResearch's Whatawhata Research Centre, Mangaotama stream, Hamilton, New Zealand, "	NA	-37.759_175.109	6	NA	n	y	y	ea	ea	NA	molar	
