First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	1	0	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	100	9	NA	0.0078	dm	NA	6.885813149	NA	NA	NA	NA	1.179856115	0.013058152	NA	NA	199.7332695	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	"phenolics estimated with the Folin assay; sporulation data available; the text said ""Nitrate levels varied between 138 and 219"" so I used and average of these two values for nitrate (179)"
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	1	7	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	88.583878	9	NA	0.0078	dm	NA	4.740484429	NA	NA	NA	NA	1.136690647	0.012376687	NA	NA	203.0209864	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	1	14	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	74.1503268	9	NA	0.0078	dm	NA	3.979238754	NA	NA	NA	NA	1.1558753	0.012214434	NA	NA	209.189896	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	1	28	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	69.52069717	9	NA	0.0078	dm	NA	3.771626298	NA	NA	NA	NA	1.194244604	0.011630322	NA	NA	226.9889011	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	1	56	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	65.708061	9	NA	0.0078	dm	NA	3.564013841	NA	NA	NA	NA	1.462829736	0.011143562	NA	NA	290.1835736	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	1	84	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	52.63616558	9	NA	0.0078	dm	NA	3.494809689	NA	NA	NA	NA	1.697841727	0.010397196	NA	NA	360.9807399	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	1	112	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	35.47930283	9	NA	0.0078	dm	NA	3.39100346	NA	NA	NA	NA	1.793764988	0.009358775	NA	NA	423.6913741	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	2	0	5November1994	25.4	7.2	135	NA	31	NA	179	NA	NA	NA	100	9	NA	0.009	dm	NA	6.909722222	NA	NA	NA	NA	1.169154229	0.013033854	NA	NA	198.29055	NA	dm	"Sampaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	2	7	5November1994	25.4	7.2	135	NA	31	NA	179	NA	NA	NA	86.40522876	9	NA	0.009	dm	NA	4.444444444	NA	NA	NA	NA	1.139303483	0.01280599	NA	NA	196.6660299	NA	dm	"Sampaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	2	14	5November1994	25.4	7.2	135	NA	31	NA	179	NA	NA	NA	76.05664488	9	NA	0.009	dm	NA	3.819444444	NA	NA	NA	NA	1.144278607	0.011308594	NA	NA	223.6795323	NA	dm	"Sampaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	2	28	5November1994	25.4	7.2	135	NA	31	NA	179	NA	NA	NA	64.34640523	9	NA	0.009	dm	NA	3.715277778	NA	NA	NA	NA	1.23880597	0.010983073	NA	NA	249.3345675	NA	dm	"Sampaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	2	56	5November1994	25.4	7.2	135	NA	31	NA	179	NA	NA	NA	57.81045752	9	NA	0.009	dm	NA	3.4375	NA	NA	NA	NA	1.44278607	0.010201823	NA	NA	312.6275375	NA	dm	"Sampaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	2	84	5November1994	25.4	7.2	135	NA	31	NA	179	NA	NA	NA	48.2788671	9	NA	0.009	dm	NA	3.506944444	NA	NA	NA	NA	1.701492537	0.009550781	NA	NA	393.8167833	NA	dm	"Sampaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Ficus_benghalensis	2	112	5November1994	25.4	7.2	135	NA	31	NA	179	NA	NA	NA	30.8496732	9	NA	0.009	dm	NA	3.333333333	NA	NA	NA	NA	1.915422886	0.008020833	NA	NA	527.8958526	NA	dm	"Sampaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Anacardium_occidentale	3	0	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	100	9	NA	0.0068	dm	NA	7.543252595	NA	NA	NA	NA	1.127364775	0.011403167	NA	NA	218.5455859	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Anacardium_occidentale	3	7	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	88.25953163	9	NA	0.0068	dm	NA	6.020761246	NA	NA	NA	NA	1.127364775	0.010689252	NA	NA	233.1418303	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Anacardium_occidentale	3	14	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	74.15115005	9	NA	0.0068	dm	NA	5.328719723	NA	NA	NA	NA	1.127364775	0.010689252	NA	NA	233.1418303	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Anacardium_occidentale	3	28	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	70.0203411	9	NA	0.0068	dm	NA	4.394463668	NA	NA	NA	NA	1.160671463	0.010299844	NA	NA	249.1045842	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Anacardium_occidentale	3	56	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	65.3783967	9	NA	0.0068	dm	NA	4.117647059	NA	NA	NA	NA	1.470423661	0.009910436	NA	NA	327.984096	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
Raviraja	Breakdown of Introduced and Native Leaves in Two Indian Streams	1996	Internationale Revue Der Gesamten Hydrobiologie	10.1002/iroh.19960810406	stream	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	senesced	Anacardium_occidentale	3	84	1September1994	28.4	6.6	108	NA	19	NA	179	NA	NA	NA	53.50753664	9	NA	0.0068	dm	NA	4.048442907	NA	NA	NA	NA	1.590327738	0.009293873	NA	NA	378.2622101	NA	dm	"Konaje river, Western Ghat forest, Karnataka, India"	NA	NA	5	NA	n	y	n	NA	H2SO4 and HClO4 digestion	H2SO4 and HClO4 digestion	molar	
