First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_control	NA	NA	plant_shoot	NA	Eleocharis_spp	1	0	11September2003	NA	7.1	254	NA	7.5	NA	NA	43.1	NA	NA	100	5	NA	0.0026	dm	NA	NA	NA	NA	NA	44.69451429	0.6	0.009	86.906	12576.5	144.1	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	"The condition of detritus when it was initially deployed was standing dead shoots. Four plots were established in each marsh in August of 2001, one represents a control, the remaining three received N, P and NP addition once in August2001 and the second time in August2002. N was added as ammonium nitrate and P as triple super phosphate in the amounts corresponding to 20 and 10 g m 2 y 1, respectively. Six treatments - control litter in control C. NP litter in control NP–C. P litter in P plot P. N litter in N plot N. NP litter in NP plot NP and control litter in NP plot C–NP. Lots more CNP data but are aggregated across salinity treatments"
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_control	NA	NA	plant_shoot	NA	Eleocharis_spp	1	258	11September2003	NA	7.1	254	NA	7.5	NA	NA	43.1	NA	NA	58.3	5	NA	0.0026	dm	NA	NA	NA	NA	NA	45.40272	0.88	0.011	60.193	12590.9	183	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	"%C appears to be calculated from molar CN ratios, not included in raw extraction file."
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_NP_in_control	NA	NA	plant_shoot	NA	Eleocharis_spp	2	0	11September2003	NA	7.1	254	NA	7.5	NA	NA	43.1	NA	NA	100	5	NA	0.0046	dm	NA	NA	NA	NA	NA	44.5146	0.7	0.099	74.191	1306.6	15.7	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_NP_in_control	NA	NA	plant_shoot	NA	Eleocharis_spp	2	258	11September2003	NA	7.1	254	NA	7.5	NA	NA	43.1	NA	NA	39.7	5	NA	0.0046	dm	NA	NA	NA	NA	NA	44.75064	1.34	0.029	38.962	4069.7	101	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_N	NA	NA	plant_shoot	NA	Eleocharis_spp	3	0	11September2003	NA	6.5	242	NA	12.4	NA	NA	38.6	NA	NA	100	5	NA	0.0026	dm	NA	NA	NA	NA	NA	42.78497143	0.55	0.01	90.756	11446.3	123.1	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_N	NA	NA	plant_shoot	NA	Eleocharis_spp	3	258	11September2003	NA	6.5	242	NA	12.4	NA	NA	38.6	NA	NA	58.1	5	NA	0.0026	dm	NA	NA	NA	NA	NA	45.09995143	0.93	0.012	56.577	9970.7	171.3	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_P	NA	NA	plant_shoot	NA	Eleocharis_spp	4	0	11September2003	NA	6.9	241	NA	32.7	NA	NA	65.6	NA	NA	100	5	NA	0.0074	dm	NA	NA	NA	NA	NA	45.21985714	0.75	0.093	70.342	1612.7	17.9	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_P	NA	NA	plant_shoot	NA	Eleocharis_spp	4	258	11September2003	NA	6.9	241	NA	32.7	NA	NA	65.6	NA	NA	25.7	5	NA	0.0074	dm	NA	NA	NA	NA	NA	46.36131429	1.99	0.099	27.18	1520.1	44.4	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_NP	NA	NA	plant_shoot	NA	Eleocharis_spp	5	0	11September2003	NA	6.9	259	NA	19.9	NA	NA	64.1	NA	NA	100	5	NA	0.0081	dm	NA	NA	NA	NA	NA	44.5146	0.7	0.29	74.191	1306.6	15.7	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	
Rejmankova	"Wetland plant decomposition under different nutrient conditions: what is more important, litter quality or site quality?"	2006	Biogeochemistry	10.1007/s10533-006-9021-y	wetland	NA	NA	NA	litter_bag	1	field	low_salinity_NP	NA	NA	plant_shoot	NA	Eleocharis_spp	5	258	11September2003	NA	6.9	259	NA	19.9	NA	NA	64.1	NA	NA	22.5	5	NA	0.0081	dm	NA	NA	NA	NA	NA	44.0316	1.89	0.121	27.18	1122.8	34.7	NA	dm	Belize	NA	18.166111_-88.524444	5	NA	NA	NA	y	ea	ea	acid digestion and colorimetry	molar	
