First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	green	Alnus_rubra	1	0	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	0.024	afdm	NA	NA	NA	NA	NA	48.49	2.08	NA	27.195	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	Water from Mayfly Creek was diverted into experimental stream channels - 14m long and about 25 cm wide with a slope of approximately 0.03m/m. Leaf packets were placed in mesh boxes inside of the channels. Mesh size was 0.48 mm except for the upstream side where the mesh size was 1mm. On the upstream side of the mesh box was a 2 cm opening that also allowed invertebrates to move in and out of the box. Nutrient values were analyzed only in two times: d0 and d39 /d43. I did not collect data on water variables because they are from another study in another year (1979).
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	green	Alnus_rubra	1	3	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.59	10	NA	0.024	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	green	Alnus_rubra	1	16	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.38	10	NA	0.024	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	green	Alnus_rubra	1	39	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.3	10	NA	0.024	afdm	NA	NA	NA	NA	NA	48.86	2.56	NA	22.264	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	green	Alnus_rubra	1	57	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.19	10	NA	0.024	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	senesced	Tsuga_heterophylla	2	0	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	0.017	afdm	NA	NA	NA	NA	NA	49	1.27	NA	45.008	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	senesced	Tsuga_heterophylla	2	3	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.14	10	NA	0.017	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	senesced	Tsuga_heterophylla	2	16	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.39	10	NA	0.017	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	senesced	Tsuga_heterophylla	2	39	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.27	10	NA	0.017	afdm	NA	NA	NA	NA	NA	51.66	1.7	NA	35.449	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
Richardson	Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream	2004	Archiv Für Hydrobiologie	10.1127/0003-9136/2004/0159-0309	stream	1.5	NA	NA	mesh_box	1	outdoor_mesocosm	NA	NA	NA	leaves	senesced	Tsuga_heterophylla	2	57	20May1995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.4	10	NA	0.017	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	MalcolmKnappResearchForest_BritishColumbia_Canada	315	49.318_-122.553	5	n	y	n	n	ea	ea	NA	molar	
