First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_ambientCO2	forested	NA	leaves	senesced	Populus_tremuloides	1	0	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	100	10	NA	0.02116	dm	0.0072	3.4	11.72413793	NA	NA	NA	NA	NA	28.1013	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	"Populus tremuloides were grown under both elevated (720 ppm) and ambient (360 ppm) levels of atmospheric CO2. The experiment was run for 30 days, with only one removal to assess the decomposition (30 days later). For CN, samples were taken after 5, 10, 15, 20, 25 and 30 days. K values were corrected after a leaching experiment (not collected). The remaining dry mass values were not corrected. Microbial community respiration was reported."
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_ambientCO2	forested	NA	leaves	senesced	Populus_tremuloides	1	6	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	NA	10	NA	0.02116	dm	NA	NA	NA	NA	NA	NA	NA	NA	35.865	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_ambientCO2	forested	NA	leaves	senesced	Populus_tremuloides	1	9	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	NA	10	NA	0.02116	dm	NA	NA	NA	NA	NA	NA	NA	NA	30.2954	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_ambientCO2	forested	NA	leaves	senesced	Populus_tremuloides	1	12	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	NA	10	NA	0.02116	dm	NA	NA	NA	NA	NA	NA	NA	NA	24.55696203	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_ambientCO2	forested	NA	leaves	senesced	Populus_tremuloides	1	15	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	NA	10	NA	0.02116	dm	NA	NA	5.563218391	NA	NA	NA	NA	NA	34.85232068	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_ambientCO2	forested	NA	leaves	senesced	Populus_tremuloides	1	20	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	NA	10	NA	0.02116	dm	NA	NA	NA	NA	NA	NA	NA	NA	28.77637131	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_ambientCO2	forested	NA	leaves	senesced	Populus_tremuloides	1	25	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	NA	10	NA	0.02116	dm	NA	NA	NA	NA	NA	NA	NA	NA	23.03797468	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_ambientCO2	forested	NA	leaves	senesced	Populus_tremuloides	1	30	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	53	10	NA	0.02116	dm	NA	NA	NA	NA	NA	NA	NA	NA	34.34599156	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_elevatedCO2	forested	NA	leaves	senesced	Populus_tremuloides	2	0	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	100	10	NA	0.01787	dm	0.0284	5.64	15.49425287	NA	NA	NA	NA	NA	55.94936709	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
Rier	Elevated CO2 induced changes in the chemistry of quaking aspen (Populus tremuloides Michaux) leaf litter subsequent mass loss and  microbial response in a stream ecosystem	2002	Journal of the North American Benthological Society	10.2307/1468296	stream	418	NA	NA	litter_bag	6.3	field	litter_grown_elevatedCO2	forested	NA	leaves	senesced	Populus_tremuloides	2	6	September1999	11.4	7.75	269	NA	5.4	NA	18	15.59	NA	NA	NA	10	NA	0.01787	dm	NA	NA	NA	NA	NA	NA	NA	NA	45.82278481	NA	NA	NA	dm	"East Branch Maple River, Michigan"	NA	45.57_-84.75	5	n	n	y	n	ea	ea	NA	NA	
